TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
20190101,2.1,-5.0,-0.6,-8.2,49.5,7.5,-9.0,7.6
20190101,2.2,-4.0,1.9,-10.2,56.9,7.1,-9.0,12.1
20190101,5.9,1.6,5.6,-0.4,56.1,7.1,-9.0,6.0
20190101,1.9,-6.1,0.1,-11.2,63.5,7.7,-9.0,11.299999999999999
20190101,1.3,-4.1,0.2,-8.1,67.3,0.1,0.0,8.299999999999999
20190101,4.8,1.1,4.1,-1.7,62.6,3.4,-9.0,5.8
20190101,2.5,-4.8,1.1,-10.9,58.6,6.1,-9.0,12.0
20190102,1.2,-1.4,4.5,-6.3,20.9,8.9,-9.0,10.8
20190102,2.2,-3.9,0.0,-6.4,48.8,9.1,-9.0,6.4
20190102,3.0,-2.1,2.4,-5.4,39.9,8.2,-9.0,7.800000000000001
20190102,8.0,3.2,4.4,2.2,63.3,0.0,0.0,2.2
20190102,1.0,-6.4,1.0,-13.1,50.6,8.8,-9.0,14.1
20190102,1.1,-1.1,3.3,-4.8,68.5,4.6,-9.0,8.1
20190102,2.5,1.4,4.9,-1.0,59.8,4.0,-9.0,5.9
20190102,3.4,-1.2,4.2,-5.6,34.3,8.3,-9.0,9.8
20190103,0.6,-7.2,2.4,-15.1,53.9,8.8,-9.0,17.5
20190103,0.5,-5.3,1.6,-11.3,49.0,8.7,-9.0,12.9
20190103,3.2,1.3,6.7,-3.0,30.1,8.8,-9.0,9.7
20190103,1.6,2.0,6.7,-1.1,56.0,8.6,-9.0,7.800000000000001
20190103,0.7,-5.7,3.6,-14.3,52.1,8.8,-9.0,17.900000000000002
20190103,0.8,-4.9,4.6,-12.3,64.8,7.9,-9.0,16.9
20190103,2.2,0.3,7.0,-5.2,58.1,9.1,-9.0,12.2
20190103,0.9,-5.7,5.8,-13.7,50.3,8.5,-9.0,19.5
20190104,1.4,-4.6,3.5,-14.1,62.9,6.8,-9.0,17.6
20190104,3.0,4.6,8.7,1.2,50.3,6.3,-9.0,7.499999999999999
20190104,0.2,-1.1,3.9,-6.1,64.3,1.7,-9.0,10.0
20190104,1.3,-1.2,3.1,-6.2,75.3,0.9,0.0,9.3
20190104,2.0,-3.9,3.0,-13.1,58.0,6.3,-9.0,16.1
20190104,0.8,-1.4,3.8,-7.4,74.4,1.7,0.0,11.2
20190104,0.9,-2.6,2.4,-10.0,74.4,0.6,0.0,12.4
20190104,0.6,-0.2,6.7,-7.5,50.4,5.9,-9.0,14.2
20190105,1.3,-3.4,2.8,-7.9,37.3,8.6,-9.0,10.7
20190105,1.7,-2.4,2.8,-6.4,45.0,8.8,-9.0,9.2
20190105,2.0,2.4,7.5,-3.8,38.3,8.0,-9.0,11.3
20190105,3.1,2.6,7.5,-1.3,57.0,6.4,-9.0,8.8
20190105,0.8,-3.6,3.0,-8.7,56.0,7.8,-9.0,11.7
20190105,1.3,0.3,6.2,-5.8,47.5,7.7,-9.0,12.0
20190105,1.6,2.8,9.2,-4.0,55.6,3.9,0.0,13.2
20190105,2.2,1.3,7.1,-6.6,42.8,5.1,-9.0,13.7
20190106,0.8,-6.2,2.1,-12.0,53.1,8.0,-9.0,14.1
20190106,0.5,-4.3,4.1,-10.3,51.9,7.4,-9.0,14.4
20190106,1.2,-1.4,4.1,-5.1,57.6,8.7,-9.0,9.2
20190106,5.7,-1.9,2.6,-4.2,78.4,8.8,-9.0,6.800000000000001
20190106,0.6,-5.3,3.1,-11.3,52.1,6.3,-9.0,14.4
20190106,0.9,-4.1,5.0,-9.7,56.0,7.9,-9.0,14.7
20190106,0.6,-1.0,9.3,-7.1,44.9,7.4,-9.0,16.4
20190106,1.4,0.8,8.5,-5.2,38.5,6.9,-9.0,13.7
20190107,4.8,-6.2,-1.1,-12.3,42.8,8.1,-9.0,11.200000000000001
20190107,1.0,-4.4,3.9,-11.3,62.8,6.5,-9.0,15.200000000000001
20190107,2.9,2.9,7.9,-1.1,27.4,9.0,-9.0,9.0
20190107,0.9,-2.2,4.5,-9.3,74.9,6.7,-9.0,13.8
20190107,1.4,-4.4,1.8,-12.1,50.0,6.5,-9.0,13.9
20190107,1.1,-1.0,4.2,-6.4,75.8,7.0,-9.0,10.600000000000001
20190107,1.5,-1.2,6.4,-8.3,63.8,8.0,-9.0,14.700000000000001
20190107,0.9,-2.1,6.2,-9.9,55.5,8.3,-9.0,16.1
20190108,1.9,-5.2,1.7,-11.3,48.9,8.0,-9.0,13.0
20190108,2.8,-2.9,1.7,-6.9,58.1,7.7,-9.0,8.6
20190108,2.0,1.7,7.2,-2.5,40.8,8.3,-9.0,9.7
20190108,4.3,6.6,8.8,4.5,62.5,0.3,0.0,4.300000000000001
20190108,2.5,-5.6,1.5,-12.6,46.3,8.9,-9.0,14.1
20190108,2.8,-0.2,3.5,-3.2,72.0,4.4,-9.0,6.7
20190108,2.6,2.4,7.4,-1.3,41.4,8.7,-9.0,8.700000000000001
20190108,1.2,-0.1,7.8,-5.8,45.8,8.2,-9.0,13.6
20190109,2.7,-3.4,-1.3,-6.0,67.3,4.4,-9.0,4.7
20190109,3.3,0.7,5.2,-2.7,32.4,6.8,-9.0,7.9
20190109,1.6,-0.9,3.8,-5.1,33.1,4.3,-9.0,8.899999999999999
20190109,6.3,4.0,6.5,1.7,62.3,2.5,0.0,4.8
20190109,0.6,-6.1,2.8,-13.1,51.3,5.1,-9.0,15.899999999999999
20190109,2.8,0.3,5.1,-4.0,39.6,5.7,-9.0,9.1
20190109,3.1,0.4,3.2,-2.9,51.1,3.1,-9.0,6.1
20190109,1.0,-0.5,5.9,-5.1,39.1,5.7,-9.0,11.0
20190110,2.2,3.9,9.2,0.8,19.8,6.3,-9.0,8.399999999999999
20190110,0.9,-1.0,1.4,-3.4,54.1,0.3,-9.0,4.8
20190110,3.3,4.8,9.0,2.5,35.1,6.6,-9.0,6.5
20190110,3.3,6.4,8.1,4.6,64.6,3.5,0.0,3.5
20190110,0.7,-2.6,1.1,-5.9,63.3,0.0,0.0,7.0
20190110,1.4,0.2,5.3,-3.8,64.5,4.7,-9.0,9.1
20190110,1.9,-1.9,4.2,-11.1,41.1,7.4,-9.0,15.3
20190110,3.1,2.4,6.8,-3.8,46.4,3.7,-9.0,10.6
20190111,2.5,3.1,8.2,-0.2,49.1,7.9,-9.0,8.399999999999999
20190111,0.8,2.8,8.4,-3.0,63.5,4.8,-9.0,11.4
20190111,2.7,5.2,10.0,-0.3,58.3,7.1,0.1,10.3
20190111,1.4,9.2,11.5,8.1,77.8,0.0,0.9,3.4000000000000004
20190111,0.6,3.0,7.0,-1.5,66.5,5.2,-9.0,8.5
20190111,1.1,3.8,9.4,-1.9,55.9,6.3,-9.0,11.3
20190111,1.6,-0.9,6.6,-8.3,61.5,7.3,-9.0,14.9
20190111,1.3,5.2,10.4,1.0,60.6,6.0,-9.0,9.4
20190112,1.2,3.5,5.2,1.2,85.3,0.0,3.5,4.0
20190112,2.4,1.5,5.1,-2.0,81.5,3.2,2.6,7.1
20190112,3.2,4.2,7.8,2.3,83.1,5.7,2.3,5.5
20190112,0.6,3.7,9.5,-1.6,83.6,3.2,4.0,11.1
20190112,1.0,4.5,9.6,0.8,64.4,4.3,0.0,8.799999999999999
20190112,1.0,5.9,7.8,4.3,87.8,0.0,2.0,3.5
20190112,1.4,2.3,8.5,-3.0,60.3,2.9,0.0,11.5
20190112,0.7,4.7,8.8,2.9,89.5,1.6,4.5,5.9
20190113,1.4,1.2,7.6,-3.0,54.3,8.6,-9.0,10.6
20190113,0.7,-0.3,3.0,-1.1,97.3,1.9,-9.0,4.1
20190113,2.2,5.6,10.8,2.1,62.5,8.4,-9.0,8.700000000000001
20190113,1.4,-0.4,6.9,-6.4,66.9,8.3,-9.0,13.3
20190113,0.6,-0.3,7.9,-4.7,76.8,6.4,-9.0,12.600000000000001
20190113,4.0,4.3,10.3,-0.5,62.0,8.6,-9.0,10.8
20190113,0.5,-0.2,1.3,-1.5,91.8,0.0,-9.0,2.8
20190114,1.4,3.9,8.0,-2.2,42.5,7.1,-9.0,10.2
20190114,1.2,1.7,4.4,-1.2,80.6,0.0,-9.0,5.6000000000000005
20190114,0.8,-1.6,3.3,-5.8,86.6,2.4,-9.0,9.1
20190114,3.8,5.6,8.4,4.5,63.3,4.3,-9.0,3.9000000000000004
20190114,0.7,-2.3,3.0,-7.6,76.9,1.7,-9.0,10.6
20190114,0.7,0.4,6.9,-4.3,78.5,5.4,-9.0,11.2
20190114,1.9,2.2,9.7,-2.9,70.0,7.7,-9.0,12.6
20190114,1.7,3.7,10.8,-1.2,52.4,7.2,-9.0,12.0
20190115,2.0,-3.2,2.5,-8.6,61.9,3.0,0.0,11.1
20190115,1.5,-0.6,3.2,-5.4,55.1,2.4,0.0,8.600000000000001
20190115,2.9,4.1,8.4,-0.9,49.4,6.7,-9.0,9.3
20190115,3.7,4.3,8.6,0.0,65.1,5.8,0.1,8.6
20190115,2.0,-1.8,2.8,-7.2,59.9,2.8,-9.0,10.0
20190115,2.0,-1.0,5.7,-4.9,71.5,3.7,-9.0,10.600000000000001
20190115,3.0,2.1,8.3,-2.9,72.3,5.3,0.0,11.200000000000001
20190115,2.1,0.2,7.2,-4.0,61.5,5.6,0.0,11.2
20190116,1.8,-8.2,-2.6,-16.4,55.0,7.7,0.0,13.799999999999999
20190116,3.2,0.6,3.3,-1.7,51.8,7.0,0.9,5.0
20190116,2.0,-2.7,1.0,-8.1,61.0,9.0,-9.0,9.1
20190116,3.7,-2.9,0.7,-7.0,64.9,9.0,-9.0,7.7
20190116,2.4,-7.2,-2.8,-13.4,53.3,6.8,-9.0,10.600000000000001
20190116,1.7,-3.5,0.1,-7.8,68.6,9.1,-9.0,7.8999999999999995
20190116,2.7,-2.1,1.5,-4.7,60.0,9.4,0.0,6.2
20190116,2.0,-2.1,2.8,-5.4,47.3,7.3,-9.0,8.2
20190117,1.4,-1.5,5.7,-6.5,44.1,9.0,-9.0,12.2
20190117,1.6,-0.4,5.7,-4.5,60.8,9.1,0.1,10.2
20190117,3.3,1.5,5.7,-2.7,47.0,4.6,-9.0,8.4
20190117,3.6,1.4,6.0,-2.8,64.6,8.2,-9.0,8.8
20190117,1.3,-2.7,4.3,-7.4,54.8,8.2,-9.0,11.7
20190117,0.9,-0.4,5.3,-4.6,64.0,4.6,-9.0,9.899999999999999
20190117,2.4,2.2,6.8,-3.5,56.1,8.2,-9.0,10.3
20190117,3.3,1.6,5.9,-2.4,47.5,4.7,-9.0,8.3
20190118,0.3,-4.0,5.9,-12.6,63.4,8.6,-9.0,18.5
20190118,0.7,-2.0,6.1,-10.1,49.0,8.7,-9.0,16.2
20190118,1.5,1.5,7.5,-3.5,73.9,6.8,-9.0,11.0
20190118,3.7,1.6,6.9,-2.1,64.8,9.0,-9.0,9.0
20190118,1.6,-1.6,4.4,-6.1,37.5,6.9,-9.0,10.5
20190118,0.8,-2.6,7.5,-10.4,68.9,8.3,-9.0,17.9
20190118,0.6,0.1,10.3,-7.6,64.0,8.9,-9.0,17.9
20190118,2.1,2.1,9.4,-3.5,51.0,8.5,-9.0,12.9
20190119,4.1,-1.5,3.7,-5.6,60.3,3.5,-9.0,9.3
20190119,0.8,0.1,8.6,-5.6,63.3,7.9,-9.0,14.2
20190119,2.0,7.3,13.9,1.3,44.3,5.6,0.1,12.6
20190119,0.7,2.0,9.0,-5.1,72.0,7.1,-9.0,14.1
20190119,0.9,-1.3,7.6,-6.3,55.1,6.2,-9.0,13.899999999999999
20190119,0.8,1.8,8.1,-3.3,75.9,3.3,1.5,11.399999999999999
20190119,0.5,2.4,11.1,-3.8,75.1,3.8,1.0,14.899999999999999
20190119,0.8,2.8,10.8,-4.3,67.1,3.9,1.0,15.100000000000001
20190120,1.9,-1.7,3.0,-5.8,51.0,8.5,-9.0,8.8
20190120,3.9,0.0,4.2,-2.9,50.9,9.2,0.2,7.1
20190120,2.1,4.2,9.1,-1.2,46.6,8.7,0.2,10.299999999999999
20190120,5.6,6.7,11.6,3.9,66.4,2.0,0.0,7.699999999999999
20190120,2.6,-1.9,2.9,-8.7,44.9,8.8,-9.0,11.6
20190120,4.0,1.4,3.6,-0.5,69.6,7.2,0.2,4.1
20190120,3.4,3.5,7.5,-1.5,44.3,8.4,0.0,9.0
20190120,1.7,3.4,8.5,-0.9,51.5,8.5,1.0,9.4
20190121,5.7,3.6,6.2,-0.1,57.3,8.1,-9.0,6.3
20190121,3.3,1.8,7.7,-2.6,37.1,9.4,-9.0,10.3
20190121,1.3,2.1,8.0,-2.1,59.5,6.9,-9.0,10.1
20190121,10.1,5.9,8.5,3.5,65.4,7.6,-9.0,5.0
20190121,1.6,-1.3,6.0,-11.2,59.0,5.0,-9.0,17.2
20190121,3.3,2.7,9.3,-3.2,38.6,9.2,-9.0,12.5
20190121,3.2,4.5,7.0,1.8,57.8,7.5,-9.0,5.2
20190121,1.1,0.8,8.6,-4.7,40.0,8.2,-9.0,13.3
20190122,1.9,3.9,9.7,-1.6,34.5,9.0,-9.0,11.299999999999999
20190122,1.3,3.2,8.8,-1.1,56.5,8.7,-9.0,9.9
20190122,2.7,5.5,10.6,0.9,43.8,9.7,-9.0,9.7
20190122,3.6,7.3,11.6,3.0,55.8,8.0,-9.0,8.6
20190122,1.1,0.2,8.2,-4.7,60.9,6.8,-9.0,12.899999999999999
20190122,1.1,-0.1,8.6,-6.9,71.8,8.6,-9.0,15.5
20190122,1.5,-0.3,7.6,-9.5,53.6,8.6,-9.0,17.1
20190122,3.1,5.3,10.0,1.2,44.4,7.9,-9.0,8.8
20190123,3.8,5.5,11.4,1.0,39.3,9.1,-9.0,10.4
20190123,1.5,2.8,9.5,-1.5,57.6,8.5,-9.0,11.0
20190123,2.3,6.6,11.8,2.7,52.6,7.6,-9.0,9.100000000000001
20190123,1.2,8.6,14.6,3.1,54.6,9.3,-9.0,11.5
20190123,0.9,2.9,9.0,-1.4,65.5,8.1,-9.0,10.4
20190123,1.2,4.9,11.6,-1.4,50.8,8.2,-9.0,13.0
20190123,5.2,3.1,7.1,-1.6,-9.0,8.1,-9.0,8.7
20190123,1.4,5.7,12.0,0.1,56.0,7.8,-9.0,11.9
20190124,1.5,3.1,6.8,-1.9,45.0,9.0,-9.0,8.7
20190124,3.0,0.0,6.3,-5.3,29.6,9.4,-9.0,11.6
20190124,3.9,2.4,6.8,-1.1,55.6,9.3,-9.0,7.9
20190124,0.6,0.8,11.5,-6.6,50.9,9.0,-9.0,18.1
20190124,0.6,-1.6,8.9,-8.7,58.5,9.0,-9.0,17.6
20190124,1.3,2.9,11.3,-2.7,44.9,8.8,-9.0,14.0
20190124,1.7,1.0,8.4,-5.5,23.0,8.9,-9.0,13.9
20190124,0.9,3.0,10.0,-0.8,42.6,8.8,-9.0,10.8
20190125,2.6,-1.2,2.6,-3.8,27.6,8.7,-9.0,6.4
20190125,2.2,-1.3,5.5,-8.5,43.1,9.3,-9.0,14.0
20190125,4.8,3.3,7.7,-0.7,40.0,2.5,-9.0,8.4
20190125,2.5,-1.1,2.5,-6.3,26.4,8.7,-9.0,8.8
20190125,1.7,-2.7,4.4,-8.5,52.9,7.5,-9.0,12.9
20190125,6.1,1.8,7.7,-1.7,49.8,4.6,-9.0,9.4
20190125,2.4,-2.7,4.9,-9.9,47.9,7.7,-9.0,14.8
20190126,1.7,-0.2,4.6,-4.0,32.1,9.2,-9.0,8.6
20190126,4.7,-2.5,1.6,-5.6,39.4,9.6,-9.0,7.199999999999999
20190126,2.7,-1.3,4.1,-5.2,27.1,8.6,-9.0,9.3
20190126,13.0,2.6,3.7,1.6,65.1,4.7,-9.0,2.1
20190126,2.5,-2.6,3.0,-7.0,33.3,9.3,-9.0,10.0
20190126,1.9,-1.5,3.0,-5.3,54.4,9.1,-9.0,8.3
20190126,4.2,0.6,4.4,-2.6,50.8,8.6,-9.0,7.0
20190126,3.1,0.2,6.2,-3.6,27.5,8.8,-9.0,9.8
20190127,1.7,-2.9,4.6,-13.6,53.1,7.9,-9.0,18.2
20190127,0.7,-1.9,3.7,-9.9,46.6,8.0,0.0,13.600000000000001
20190127,3.1,2.8,9.6,-2.8,31.8,9.5,-9.0,12.399999999999999
20190127,2.6,3.3,8.0,-1.5,60.1,9.2,-9.0,9.5
20190127,1.2,-2.4,5.2,-12.5,57.4,7.8,-9.0,17.7
20190127,0.9,-3.6,6.2,-12.4,66.4,8.5,-9.0,18.6
20190127,1.7,1.3,8.0,-5.1,62.3,9.5,-9.0,13.1
20190127,1.0,-3.7,7.9,-13.4,47.6,8.7,-9.0,21.3
20190128,2.5,-1.0,2.8,-9.5,46.8,8.5,0.0,12.3
20190128,5.4,3.4,5.6,1.4,49.3,6.4,0.0,4.199999999999999
20190128,4.1,3.1,6.8,-2.1,62.8,8.5,0.0,8.9
20190128,4.1,3.1,7.7,-2.5,63.1,6.9,0.0,10.2
20190128,2.7,0.3,4.3,-6.4,46.5,7.1,0.0,10.7
20190128,3.0,2.9,6.7,-2.0,71.3,7.3,0.1,8.7
20190128,2.3,2.6,8.3,-1.9,64.0,6.0,0.0,10.200000000000001
20190128,1.9,3.6,8.5,-0.7,43.3,7.9,0.0,9.2
20190129,1.2,-1.3,7.2,-9.1,35.8,9.0,-9.0,16.3
20190129,1.2,-0.7,7.4,-6.7,44.9,9.5,-9.0,14.100000000000001
20190129,1.0,1.6,9.2,-5.4,39.9,9.1,-9.0,14.6
20190129,1.5,0.6,10.2,-6.6,55.6,9.3,-9.0,16.799999999999997
20190129,0.8,-3.0,7.0,-11.0,47.4,8.6,-9.0,18.0
20190129,1.6,-0.7,9.5,-8.1,49.9,9.5,-9.0,17.6
20190129,0.7,0.0,8.1,-6.7,56.9,8.4,-9.0,14.8
20190129,0.8,-0.1,10.5,-8.2,45.8,8.0,-9.0,18.7
20190130,1.0,-1.0,6.5,-8.9,70.5,8.2,-9.0,15.4
20190130,0.8,1.1,9.3,-6.1,48.1,8.7,-9.0,15.4
