,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20140101,5.5,5.0,7.4,2.4,69.4,7.2,0.1,5.0
1,20140101,3.8,5.3,8.7,1.7,45.3,7.9,0.0,6.999999999999999
2,20140101,3.9,9.1,11.5,6.2,51.8,8.5,0.0,5.3
3,20140101,2.2,3.6,8.8,-3.7,64.6,4.2,0.0,12.5
4,20140101,1.7,4.6,10.3,0.2,66.5,7.5,0.0,10.1
5,20140101,2.6,4.4,10.6,-1.8,56.1,8.2,0.0,12.4
6,20140101,1.9,1.3,9.5,-5.3,57.4,6.5,0.0,14.8
7,20140102,1.2,0.4,6.5,-4.3,42.3,8.6,0.0,10.8
8,20140102,1.2,1.8,7.3,-2.5,49.4,8.7,0.0,9.8
9,20140102,1.9,5.5,10.7,1.7,32.0,9.0,0.0,9.0
10,20140102,1.6,2.2,9.7,-3.5,55.8,6.0,0.0,13.2
11,20140102,0.7,-0.5,7.9,-5.4,46.9,7.8,0.0,13.3
12,20140102,1.6,1.2,9.7,-3.4,62.5,8.6,0.0,13.1
13,20140102,1.2,3.6,12.2,-2.0,57.8,6.5,0.0,14.2
14,20140102,2.3,1.7,9.8,-3.6,43.3,8.4,0.0,13.4
15,20140103,0.6,-1.2,5.2,-5.0,74.5,4.2,0.0,10.2
16,20140103,1.1,2.3,9.6,-4.3,74.8,5.1,0.0,13.9
17,20140103,0.8,6.0,11.7,0.5,32.0,7.7,0.0,11.2
18,20140103,2.0,10.7,15.4,6.0,57.8,5.1,0.0,9.4
19,20140103,0.8,-2.0,7.2,-7.8,69.8,4.7,0.0,15.0
20,20140103,0.7,2.4,12.6,-4.6,60.1,5.3,0.0,17.2
21,20140103,0.9,7.1,13.1,1.1,49.9,6.1,0.0,12.0
22,20140103,0.6,0.9,11.5,-5.7,54.0,4.5,0.0,17.2
23,20140104,1.3,1.0,2.8,0.1,85.4,0.0,9.0,2.7
24,20140104,1.0,1.0,6.5,-2.7,61.4,8.8,0.0,9.2
25,20140104,1.5,5.8,11.0,2.4,54.5,8.4,0.0,8.6
26,20140104,1.8,9.9,14.3,6.5,65.3,9.0,0.0,7.800000000000001
27,20140104,1.3,0.1,5.1,-3.4,63.1,8.7,0.0,8.5
28,20140104,1.2,4.8,9.8,1.0,36.0,8.1,0.0,8.8
29,20140104,1.6,2.3,7.7,-1.9,57.3,7.9,0.0,9.6
30,20140104,0.9,5.0,10.0,1.2,46.1,8.0,0.0,8.8
31,20140105,2.9,-0.7,3.3,-3.8,59.4,8.4,0.0,7.1
32,20140105,1.8,0.7,6.5,-4.2,48.4,7.8,0.0,10.7
33,20140105,6.3,4.9,5.7,4.2,62.0,9.2,0.0,1.5
34,20140105,1.1,-0.7,5.4,-5.1,68.9,6.5,0.0,10.5
35,20140105,0.9,-1.0,4.8,-5.4,69.4,8.4,0.0,10.2
36,20140105,2.6,1.6,8.1,-3.8,52.5,9.0,0.0,11.9
37,20140105,0.7,-0.7,8.0,-6.6,67.1,3.6,0.0,14.6
38,20140106,1.0,-1.2,6.4,-7.5,64.1,7.9,0.0,13.9
39,20140106,0.8,-0.1,6.6,-5.3,65.4,7.8,0.0,11.9
40,20140106,1.2,2.8,9.0,-1.5,37.0,8.9,0.0,10.5
41,20140106,1.2,0.0,8.7,-5.7,54.0,8.8,0.0,14.4
42,20140106,0.4,-2.6,6.1,-8.4,67.1,7.8,0.0,14.5
43,20140106,1.1,-0.8,8.3,-7.1,61.3,9.0,0.0,15.4
44,20140106,0.8,0.6,9.9,-6.2,59.1,8.0,0.0,16.1
45,20140106,1.6,1.2,8.9,-4.4,50.0,8.3,0.0,13.3
46,20140107,0.6,-0.4,3.1,-3.3,80.8,0.0,0.0,6.4
47,20140107,0.7,0.8,6.8,-4.7,80.0,0.6,0.0,11.5
48,20140107,1.1,4.8,10.0,-0.9,38.4,7.6,0.0,10.9
49,20140107,2.3,8.8,12.3,3.4,63.1,4.0,0.1,8.9
50,20140107,0.6,-2.6,3.5,-8.7,77.4,0.3,0.0,12.2
51,20140107,0.9,1.4,9.0,-5.9,64.5,3.9,0.0,14.9
52,20140107,0.4,5.6,11.0,-0.4,54.4,5.5,0.0,11.4
53,20140107,0.7,1.8,10.6,-7.3,52.3,6.1,0.0,17.9
54,20140108,2.2,4.7,7.9,1.4,52.0,0.0,0.0,6.5
55,20140108,1.5,1.2,5.3,-2.9,69.6,2.2,0.2,8.2
56,20140108,2.9,4.1,6.4,2.6,74.9,0.0,7.3,3.8
57,20140108,2.9,8.9,11.1,5.5,75.3,0.0,18.0,5.6
58,20140108,2.4,1.6,4.6,-2.3,65.1,3.9,0.4,6.9
59,20140108,1.8,3.2,5.5,1.3,58.3,0.0,6.5,4.2
60,20140108,2.3,2.5,6.0,-2.5,53.3,0.0,0.0,8.5
61,20140108,1.1,3.8,6.0,1.9,73.8,0.0,5.5,4.1
62,20140109,5.7,-7.2,-4.8,-9.5,41.5,9.4,0.0,4.7
63,20140109,3.3,-5.6,-1.7,-8.5,26.1,8.4,0.0,6.8
64,20140109,12.1,-0.3,1.8,-2.0,62.3,4.0,0.0,3.8
65,20140109,3.2,-6.6,-2.8,-10.1,30.9,8.9,0.0,7.3
66,20140109,2.5,-4.1,-0.8,-8.2,48.9,8.6,0.0,7.399999999999999
67,20140109,5.5,-2.3,0.3,-6.5,45.0,9.3,0.0,6.8
68,20140109,2.3,-5.9,-0.1,-13.1,30.9,8.4,0.0,13.0
69,20140110,1.0,-7.0,0.8,-12.2,59.3,7.0,0.0,13.0
70,20140110,1.0,-4.7,-0.5,-9.8,63.1,4.1,0.0,9.3
71,20140110,2.3,-1.5,3.7,-6.2,38.1,9.1,0.0,9.9
72,20140110,1.6,-3.7,3.4,-10.7,61.0,8.5,0.0,14.1
73,20140110,0.9,-8.3,-0.4,-15.2,57.9,7.0,0.0,14.8
74,20140110,1.1,-3.5,2.4,-10.9,59.9,6.4,0.0,13.3
75,20140110,1.4,-2.8,4.7,-9.6,70.5,8.1,0.0,14.3
76,20140110,2.8,-3.2,2.5,-7.2,37.8,8.6,0.0,9.7
77,20140111,1.2,-2.7,3.2,-8.4,59.4,7.5,0.0,11.6
78,20140111,0.5,-1.9,3.2,-7.5,78.4,2.6,0.1,10.7
79,20140111,1.3,1.6,6.1,-2.3,47.3,8.2,0.0,8.399999999999999
80,20140111,2.8,5.4,7.5,3.6,56.9,7.4,0.0,3.9
81,20140111,1.1,-4.7,1.8,-11.0,64.6,5.6,0.0,12.8
82,20140111,1.2,-0.8,4.7,-4.8,72.0,4.7,0.0,9.5
83,20140111,1.6,1.7,5.9,-2.3,62.0,7.5,0.0,8.2
84,20140111,0.9,-1.7,6.9,-7.5,59.6,7.6,0.0,14.4
85,20140112,2.4,0.9,5.0,-1.6,41.1,5.7,0.0,6.6
86,20140112,1.6,-0.7,5.0,-5.1,65.6,2.1,0.0,10.1
87,20140112,1.7,2.5,7.1,-2.1,54.1,6.9,0.0,9.2
88,20140112,1.7,6.5,11.1,3.1,57.5,5.3,0.0,8.0
89,20140112,1.7,-0.1,6.7,-4.6,61.0,3.7,0.0,11.3
90,20140112,1.3,1.5,6.8,-3.4,41.3,5.4,0.0,10.2
91,20140112,2.9,0.1,4.7,-4.8,47.5,2.3,0.0,9.5
92,20140112,1.4,2.5,7.9,-3.1,51.1,5.1,0.0,11.0
93,20140113,4.0,-5.9,-2.8,-9.3,40.8,9.5,0.0,6.500000000000001
94,20140113,2.5,-4.3,0.7,-8.9,26.1,8.4,0.0,9.6
95,20140113,9.6,0.6,1.4,0.2,54.9,8.1,0.0,1.2
96,20140113,2.1,-5.7,0.1,-12.5,37.6,9.0,0.0,12.6
97,20140113,1.9,-3.6,1.1,-7.9,42.9,8.5,0.0,9.0
98,20140113,4.0,-1.3,2.4,-3.8,36.9,9.3,0.0,6.199999999999999
99,20140113,1.0,-7.0,3.1,-14.4,46.5,8.4,0.0,17.5
100,20140114,1.3,-6.1,1.5,-12.8,47.4,9.1,0.0,14.3
101,20140114,1.2,-4.1,2.4,-9.9,49.5,9.0,0.0,12.3
102,20140114,2.3,-0.2,5.1,-4.5,21.1,9.5,0.0,9.6
103,20140114,2.5,-1.6,4.5,-10.0,32.5,9.0,0.0,14.5
104,20140114,0.6,-7.4,2.5,-14.7,49.5,8.2,0.0,17.2
