TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20160101,112,2.4,2095,20,5.3,2216,20,7.4,2218,3.1,5.7,1250,-0.4,401,0.5,1.9,-7.9,83.9,68.0,1250,6.4,1.0,-9.0,-9.00,1021.6,1030.6,1033.6,1031,1026.7,2338,7.4,3.0,9.6,-9.0,5.01,1.33,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,4.2,6.6,9.5,13.8,16.0
20160101,137,1.7,1496,25,4.4,1144,29,7.7,1123,2.2,6.5,1348,-4.2,831,-4.6,-0.2,-6.3,62.5,44.0,1351,4.4,-9.0,-9.0,-9.00,1018.8,1031.0,1034.1,1041,1027.8,2327,-9.0,8.2,9.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160101,169,2.4,2109,18,5.4,1500,18,7.3,1459,6.4,11.3,1307,3.8,556,0.1,7.1,-0.5,64.3,50.0,1319,6.2,-9.0,-9.0,-9.00,1021.5,1031.0,1034.3,1005,1027.8,2328,5.5,5.0,9.9,-9.0,9.98,2.27,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160101,202,0.7,599,18,2.5,1240,20,3.9,1235,-1.1,2.8,1514,-5.5,408,-3.1,-0.6,-10.6,87.1,65.0,1515,4.9,-9.0,-9.0,-9.00,1025.6,1031.8,1035.0,1017,1027.9,2345,-9.0,1.5,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160101,243,1.3,1083,16,3.3,1245,25,5.2,1648,3.2,8.6,1437,-1.1,515,-1.0,3.4,-6.0,74.9,50.0,1412,5.7,-9.0,-9.0,-9.00,1030.2,1031.7,1034.7,1030,1028.9,2359,-9.0,2.7,9.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160101,259,1.4,1214,29,4.2,1226,34,6.9,1137,2.0,9.3,1355,-3.9,748,-1.6,3.0,-9.4,79.3,47.0,1356,5.4,-9.0,-9.0,-9.00,1030.7,1032.3,1035.3,1017,1029.7,2314,-9.0,7.5,9.9,-9.0,13.49,1.95,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160101,277,3.6,3148,27,8.6,2147,25,14.2,2121,3.5,8.2,1342,-2.1,427,-7.1,2.3,-5.9,47.6,24.0,1345,3.6,-9.0,-9.0,-9.00,1023.3,1028.7,1032.1,750,1025.2,2351,-9.0,7.7,9.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160102,95,1.8,1578,20,3.3,1508,18,7.0,1503,4.5,8.2,1521,-0.2,2356,0.7,0.9,-3.8,76.5,66.0,1457,6.5,-9.0,-9.0,-9.00,1003.3,1022.4,1026.9,1,1020.1,1612,-9.0,0.5,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20160102,115,3.4,2940,9,8.1,2122,20,13.1,2224,7.8,10.5,1310,5.5,722,-0.5,4.3,3.0,56.1,37.0,2221,5.9,1.7,-9.0,-9.00,993.4,1020.5,1023.6,6,1017.8,2206,2.4,7.2,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,5.1,8.3,11.4,14.8,15.1
20160102,140,3.0,2610,11,5.3,942,11,7.5,937,8.0,12.7,1346,3.3,747,5.3,5.5,2.4,83.4,71.0,1351,9.0,-9.0,-9.0,-9.00,1020.5,1023.4,1028.5,1,1020.7,2355,-9.0,4.5,9.8,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
