TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20200101,108,0.6,509,5,2.6,904,5,4.8,906,-2.2,0.3,1457,-6.5,1,-8.1,-0.9,-6.6,64.4,37.0,2,3.4,0.6,0.4,-9.00,1021.1,1032.1,1034.0,952,1031.2,1418,8.9,0.8,9.6,-9.0,4.53,1.00,1100,0.1,0.1,9.83,-9.0,-9,-9.0,-9,-9.0,-9,0.0,-9,0.0,-9,4.1,7.2,9.8,15.3,17.0
20200101,136,2.1,1786,29,5.9,1225,32,10.7,1159,-2.6,3.7,1253,-8.7,554,-9.4,-2.7,-10.9,60.0,42.0,100,3.1,1.6,1.1,-9.00,1013.9,1032.0,1033.8,114,1030.1,1303,2.0,7.8,9.7,-9.0,10.22,2.02,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200101,168,4.4,3796,32,7.7,43,32,11.2,1212,1.2,6.4,1412,-4.1,427,-7.8,3.3,-5.6,51.1,37.0,426,3.5,2.6,1.9,-9.00,1022.6,1030.8,1032.3,335,1029.1,1425,0.9,9.0,9.9,-9.0,10.87,1.94,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,6.7,10.5,13.9,18.6,19.6
20200101,202,0.8,699,18,1.7,1026,14,2.7,655,-3.8,-1.3,1543,-7.2,1,-7.8,-1.0,-6.4,74.3,55.0,1,3.5,-9.0,-9.0,-9.00,1027.5,1033.6,1035.5,1002,1032.5,1436,6.0,0.0,9.6,-9.0,-9.00,-9.00,-9,0.1,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200101,239,0.8,653,25,2.7,1313,27,4.7,1313,-1.6,4.0,1401,-8.6,17,-7.5,-0.7,-11.8,65.0,44.0,1304,3.6,-9.0,-9.0,-9.00,1020.8,1032.9,1035.7,1,1031.2,1356,-9.0,3.5,9.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200101,258,4.5,3873,32,8.3,1521,27,11.6,1228,1.3,6.3,1335,-4.2,209,-5.6,0.6,-4.6,60.3,30.0,142,4.1,2.6,1.8,-9.00,1031.4,1031.8,1033.3,29,1030.0,1424,1.5,8.7,9.9,-9.0,12.18,2.08,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200101,276,2.7,2339,27,6.1,1421,27,8.3,1449,-2.6,3.2,1319,-9.3,452,-7.0,-3.3,-12.4,72.3,56.0,146,3.7,1.4,1.0,-9.00,1004.6,1031.3,1033.2,22,1029.0,1356,1.0,7.5,9.7,-9.0,10.25,1.85,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200102,90,2.3,1959,29,5.8,1240,27,9.9,1256,2.8,6.6,1428,-2.1,37,-10.0,0.7,-7.1,38.6,31.0,1128,2.9,-9.0,-9.0,-9.00,1023.0,1025.2,1027.7,904,1023.1,2354,0.4,8.8,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200102,112,1.8,1558,34,4.3,2354,32,6.6,2351,1.8,3.6,1424,0.5,400,-3.1,0.3,-1.8,69.8,64.0,1119,4.9,0.9,0.6,-9.00,1020.7,1029.4,1031.0,1,1028.4,1346,7.3,0.0,9.6,-9.0,2.70,0.50,1400,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,4.1,6.5,9.2,13.7,16.2
20200102,137,2.1,1818,27,4.0,1201,27,6.7,1155,2.2,4.6,1331,-1.2,301,-3.2,1.1,-6.0,67.6,56.0,1135,4.8,-9.0,-9.0,-9.00,1017.4,1029.6,1031.5,845,1028.3,1325,6.6,0.5,9.7,-9.0,4.60,1.11,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20200102,169,3.7,3185,36,5.6,914,34,7.9,528,6.7,8.5,1301,5.6,151,1.5,6.6,2.4,69.8,63.0,39,6.8,1.6,1.1,-9.00,1020.1,1029.6,1031.4,1021,1028.5,2358,7.9,1.0,9.9,-9.0,3.89,0.79,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
