경매시간,품목(품종),규격(전체),경락가,거래량
01/16 12:00:00,감귤(기타감귤),1kg,1600,9
01/16 12:00:00,감귤(기타감귤),1kg,1600,129
01/16 12:00:00,감귤(기타감귤),1kg,2300,83
01/16 12:00:00,감귤(기타감귤),1kg,2600,110
01/16 12:00:00,감귤(기타감귤),1kg,2900,114
01/16 12:00:00,감귤(기타감귤),1kg,2400,39
01/16 12:00:00,감귤(기타감귤),1kg,1400,44
01/16 12:00:00,감귤(기타감귤),1kg,1400,82
01/16 12:00:00,감귤(기타감귤),1kg,2200,98
01/16 12:00:00,감귤(기타감귤),1kg,2500,100
01/16 12:00:00,감귤(기타감귤),1kg,2200,125
01/16 12:00:00,감귤(기타감귤),1kg,1900,82
01/16 12:00:00,감귤(기타감귤),1kg,1400,8
01/16 12:00:00,감귤(기타감귤),1kg,1700,31
01/16 12:00:00,감귤(기타감귤),1kg,1800,45
01/16 12:00:00,감귤(기타감귤),1kg,1600,55
01/16 12:00:00,감귤(기타감귤),1kg,900,9
01/16 12:00:00,감귤(기타감귤),1kg,1400,84
01/16 12:00:00,감귤(기타감귤),1kg,1700,123
01/16 12:00:00,감귤(기타감귤),1kg,2000,56
01/16 12:00:00,감귤(기타감귤),1kg,2100,164
01/16 12:00:00,감귤(기타감귤),1kg,2000,42
01/16 12:00:00,감귤(기타감귤),1kg,900,12
01/16 12:00:00,감귤(기타감귤),1kg,1400,5
01/16 12:00:00,감귤(기타감귤),1kg,1800,9
01/16 12:00:00,감귤(기타감귤),1kg,400,1
01/16 12:00:00,감귤(기타감귤),1kg,1300,19
01/16 12:00:00,감귤(기타감귤),1kg,1000,16
01/16 12:00:00,감귤(기타감귤),1kg,1000,13
01/16 12:00:00,감귤(기타감귤),1kg,800,2
01/16 12:00:00,감귤(기타감귤),1kg,1100,86
01/16 12:00:00,감귤(기타감귤),1kg,1200,10
01/16 12:00:00,감귤(기타감귤),1kg,1000,5
01/16 12:00:00,감귤(기타감귤),1kg,1100,8
01/16 12:00:00,감귤(기타감귤),1kg,1000,4
01/16 12:00:00,감귤(기타감귤),1kg,700,1
01/16 12:00:00,감귤(기타감귤),1kg,700,16
01/16 12:00:00,감귤(기타감귤),1kg,800,17
01/16 12:00:00,감귤(기타감귤),1kg,1000,7
01/16 12:00:00,감귤(기타감귤),1kg,1400,38
01/16 12:00:00,감귤(기타감귤),1kg,1400,36
01/16 12:00:00,감귤(기타감귤),1kg,1300,44
01/16 12:00:00,감귤(기타감귤),1kg,1400,5
01/16 12:00:00,감귤(기타감귤),1kg,2400,42
01/16 12:00:00,감귤(기타감귤),1kg,3300,54
01/16 12:00:00,감귤(기타감귤),1kg,2700,30
01/16 12:00:00,감귤(기타감귤),1kg,2200,26
01/16 12:00:00,감귤(기타감귤),1kg,1300,11
01/16 12:00:00,감귤(기타감귤),1kg,1300,83
01/16 12:00:00,감귤(기타감귤),1kg,1900,50
01/16 12:00:00,감귤(기타감귤),1kg,2200,31
01/16 12:00:00,감귤(기타감귤),1kg,2500,32
01/16 12:00:00,감귤(기타감귤),1kg,2200,20
01/16 12:00:00,감귤(기타감귤),1kg,1700,7
01/16 12:00:00,감귤(기타감귤),1kg,1000,36
01/16 12:00:00,감귤(기타감귤),1kg,3300,73
01/16 12:00:00,감귤(기타감귤),1kg,2400,61
01/16 12:00:00,감귤(기타감귤),1kg,1400,77
01/16 12:00:00,감귤(기타감귤),1kg,2100,52
01/16 12:00:00,감귤(기타감귤),1kg,1800,18
01/16 12:00:00,감귤(기타감귤),1kg,3000,32
01/16 12:00:00,감귤(기타감귤),1kg,3700,73
01/16 12:00:00,감귤(기타감귤),1kg,3200,58
01/16 12:00:00,감귤(기타감귤),1kg,2400,55
01/16 12:00:00,감귤(기타감귤),1kg,1200,100
01/16 12:00:00,감귤(기타감귤),1kg,2000,18
01/16 12:00:00,감귤(기타감귤),1kg,2700,31
01/16 12:00:00,감귤(기타감귤),1kg,3400,67
01/16 12:00:00,감귤(기타감귤),1kg,3900,83
01/16 12:00:00,감귤(기타감귤),1kg,3200,31
01/16 12:00:00,감귤(기타감귤),1kg,2000,11
01/16 12:00:00,감귤(기타감귤),1kg,1200,104
01/16 12:00:00,감귤(기타감귤),1kg,200,4
01/16 12:00:00,감귤(기타감귤),1kg,200,10
01/16 12:00:00,감귤(기타감귤),1kg,200,12
01/16 12:00:00,감귤(기타감귤),1kg,200,15
01/16 12:00:00,감귤(기타감귤),1kg,200,32
01/16 12:00:00,감귤(기타감귤),1kg,2000,7
01/16 12:00:00,감귤(기타감귤),1kg,3300,27
01/16 12:00:00,감귤(기타감귤),1kg,3600,82
01/16 12:00:00,감귤(기타감귤),1kg,3200,74
01/16 12:00:00,감귤(기타감귤),1kg,2400,66
01/16 12:00:00,감귤(기타감귤),1kg,1300,76
01/16 12:00:00,감귤(기타감귤),1kg,1800,7
01/16 12:00:00,감귤(기타감귤),1kg,2400,13
01/16 12:00:00,감귤(기타감귤),1kg,3200,26
01/16 12:00:00,감귤(기타감귤),1kg,2800,46
01/16 12:00:00,감귤(기타감귤),1kg,2200,20
01/16 12:00:00,감귤(기타감귤),1kg,1200,49
01/16 12:00:00,감귤(기타감귤),1kg,2800,57
01/16 12:00:00,감귤(기타감귤),1kg,2900,67
01/16 12:00:00,감귤(기타감귤),1kg,2000,118
01/16 12:00:00,감귤(기타감귤),1kg,1400,12
01/16 12:00:00,감귤(기타감귤),1kg,2200,20
01/16 12:00:00,감귤(기타감귤),1kg,3000,34
01/16 12:00:00,감귤(기타감귤),1kg,3400,65
01/16 12:00:00,감귤(기타감귤),1kg,2700,53
01/16 12:00:00,감귤(기타감귤),1kg,1700,33
01/16 12:00:00,감귤(기타감귤),1kg,600,5
01/16 12:00:00,감귤(기타감귤),1kg,1100,11
01/16 12:00:00,감귤(기타감귤),1kg,1600,22
01/16 12:00:00,감귤(기타감귤),1kg,2000,31
01/16 12:00:00,감귤(기타감귤),1kg,2000,45
01/16 12:00:00,감귤(기타감귤),1kg,1800,33
01/16 12:00:00,감귤(기타감귤),1kg,1200,29
01/16 12:00:00,감귤(기타감귤),1kg,1400,28
01/16 12:00:00,감귤(기타감귤),1kg,1800,37
01/16 12:00:00,감귤(기타감귤),1kg,2200,47
01/16 12:00:00,감귤(기타감귤),1kg,2200,46
01/16 12:00:00,감귤(기타감귤),1kg,2000,17
01/16 12:00:00,감귤(기타감귤),1kg,1400,5
01/16 12:00:00,감귤(기타감귤),1kg,3100,105
01/16 12:00:00,감귤(기타감귤),1kg,800,5
01/16 12:00:00,감귤(기타감귤),1kg,1500,49
01/16 12:00:00,감귤(기타감귤),1kg,2800,74
01/16 12:00:00,감귤(기타감귤),1kg,2200,55
01/16 12:00:00,감귤(기타감귤),1kg,1400,25
01/16 12:00:00,감귤(기타감귤),1kg,1800,42
01/16 12:00:00,감귤(기타감귤),1kg,2500,62
01/16 12:00:00,감귤(기타감귤),1kg,2700,76
01/16 12:00:00,감귤(기타감귤),1kg,2300,13
01/16 12:00:00,감귤(기타감귤),1kg,1800,4
01/16 12:00:00,감귤(기타감귤),1kg,1700,6
01/16 12:00:00,감귤(기타감귤),1kg,2000,71
01/16 12:00:00,감귤(기타감귤),1kg,1800,23
01/16 12:00:00,감귤(기타감귤),1kg,1300,7
01/16 12:00:00,감귤(기타감귤),1kg,2200,48
01/16 12:00:00,감귤(기타감귤),1kg,2500,70
01/16 12:00:00,감귤(기타감귤),1kg,2700,18
01/16 12:00:00,감귤(기타감귤),1kg,3100,49
01/16 12:00:00,감귤(기타감귤),1kg,1100,2
01/16 12:00:00,감귤(기타감귤),1kg,2300,19
01/16 12:00:00,감귤(기타감귤),1kg,3100,32
01/16 12:00:00,감귤(기타감귤),1kg,2900,32
01/16 12:00:00,감귤(기타감귤),1kg,2700,48
01/16 12:00:00,감귤(기타감귤),1kg,3500,49
01/16 12:00:00,감귤(기타감귤),1kg,2000,18
01/16 12:00:00,감귤(기타감귤),1kg,1400,50
01/16 12:00:00,감귤(기타감귤),1kg,1700,29
01/16 12:00:00,감귤(기타감귤),1kg,1700,38
01/16 12:00:00,감귤(기타감귤),1kg,1900,55
01/16 12:00:00,감귤(기타감귤),1kg,2400,58
01/16 12:00:00,감귤(기타감귤),1kg,1700,24
01/16 12:00:00,감귤(기타감귤),1kg,1300,15
01/16 12:00:00,감귤(기타감귤),1kg,2300,42
01/16 12:00:00,감귤(기타감귤),1kg,2200,41
01/16 12:00:00,감귤(기타감귤),1kg,2000,14
01/16 12:00:00,감귤(기타감귤),1kg,2400,36
01/16 12:00:00,감귤(기타감귤),1kg,1700,16
01/16 12:00:00,감귤(기타감귤),1kg,1300,3
01/16 12:00:00,감귤(기타감귤),1kg,3100,49
01/16 12:00:00,감귤(기타감귤),1kg,2500,34
01/16 12:00:00,감귤(기타감귤),1kg,2900,38
01/16 12:00:00,감귤(기타감귤),1kg,3500,67
01/16 12:00:00,감귤(기타감귤),1kg,1000,15
01/16 12:00:00,감귤(기타감귤),1kg,1800,15
01/16 12:00:00,감귤(기타감귤),1kg,3400,55
01/16 12:00:00,감귤(기타감귤),1kg,2900,50
01/16 12:00:00,감귤(기타감귤),1kg,2800,70
01/16 12:00:00,감귤(기타감귤),1kg,1500,3
01/16 12:00:00,감귤(기타감귤),1kg,2700,23
01/16 12:00:00,감귤(기타감귤),1kg,2000,63
01/16 12:00:00,감귤(기타감귤),1kg,1600,35
01/16 12:00:00,감귤(기타감귤),1kg,3100,66
01/16 12:00:00,감귤(기타감귤),1kg,2700,67
01/16 12:00:00,감귤(기타감귤),1kg,1400,9
01/16 12:00:00,감귤(기타감귤),1kg,2300,30
01/16 12:00:00,감귤(기타감귤),1kg,2100,78
01/16 12:00:00,감귤(기타감귤),1kg,1900,38
01/16 12:00:00,감귤(기타감귤),1kg,2600,60
01/16 12:00:00,감귤(기타감귤),1kg,2500,71
01/16 12:00:00,감귤(기타감귤),1kg,1400,6
01/16 12:00:00,감귤(기타감귤),1kg,2000,21
01/16 12:00:00,감귤(기타감귤),1kg,3100,77
01/16 12:00:00,감귤(기타감귤),1kg,1800,16
01/16 12:00:00,감귤(기타감귤),1kg,2400,47
01/16 12:00:00,감귤(기타감귤),1kg,3300,40
01/16 12:00:00,감귤(기타감귤),1kg,3800,70
01/16 12:00:00,감귤(기타감귤),1kg,800,2
01/16 12:00:00,감귤(기타감귤),1kg,1300,18
01/16 12:00:00,감귤(기타감귤),1kg,1000,4
01/16 12:00:00,감귤(기타감귤),1kg,800,5
01/16 12:00:00,감귤(기타감귤),1kg,600,3
01/16 12:00:00,감귤(기타감귤),1kg,1000,6
01/16 12:00:00,감귤(기타감귤),1kg,2700,11
01/16 12:00:00,감귤(기타감귤),1kg,600,2
01/16 12:00:00,감귤(기타감귤),1kg,4500,10
01/16 12:00:00,감귤(기타감귤),1kg,3300,4
01/16 12:00:00,감귤(기타감귤),1kg,6100,67
01/16 12:00:00,감귤(기타감귤),1kg,5800,53
01/16 12:00:00,감귤(기타감귤),1kg,4200,82
01/16 12:00:00,감귤(기타감귤),1kg,2100,33
01/16 12:00:00,감귤(기타감귤),1kg,2100,32
01/16 12:00:00,감귤(기타감귤),1kg,2300,39
01/16 12:00:00,감귤(기타감귤),1kg,3400,12
01/16 12:00:00,감귤(기타감귤),1kg,2800,8
01/16 12:00:00,감귤(기타감귤),1kg,3700,62
01/16 12:00:00,감귤(기타감귤),1kg,4100,48
01/16 12:00:00,감귤(기타감귤),1kg,2000,22
01/16 12:00:00,감귤(기타감귤),1kg,1700,25
01/16 12:00:00,감귤(기타감귤),1kg,1200,11
01/16 12:00:00,감귤(기타감귤),1kg,2000,26
01/16 12:00:00,감귤(기타감귤),1kg,2000,47
01/16 12:00:00,감귤(기타감귤),1kg,2300,52
01/16 12:00:00,감귤(기타감귤),1kg,1300,7
01/16 12:00:00,감귤(기타감귤),1kg,2500,204
01/16 12:00:00,감귤(기타감귤),1kg,2300,147
01/16 12:00:00,감귤(기타감귤),1kg,2500,117
01/16 12:00:00,감귤(기타감귤),1kg,1000,4
01/16 12:00:00,감귤(기타감귤),1kg,1800,73
01/16 12:00:00,감귤(기타감귤),1kg,1300,14
01/16 12:00:00,감귤(기타감귤),1kg,4300,82
01/16 12:00:00,감귤(기타감귤),1kg,2300,14
