경매시간,품목(품종),규격(전체),경락가,거래량
0,감귤(만생귤),1kg,6333,40
07/15 09:07:05,감귤(하우스감귤),1kg,3000,18
07/15 09:07:05,감귤(하우스감귤),1kg,3000,18
07/15 09:07:00,감귤(하우스감귤),1kg,2400,12
07/15 09:07:00,감귤(하우스감귤),1kg,2400,12
07/15 09:07:00,감귤(하우스감귤),1kg,2400,12
07/15 09:07:00,감귤(하우스감귤),1kg,2400,12
07/15 09:06:42,감귤(하우스감귤),1kg,1200,14
07/15 09:06:42,감귤(하우스감귤),1kg,1200,13
07/15 09:06:42,감귤(하우스감귤),1kg,1200,14
07/15 09:06:42,감귤(하우스감귤),1kg,1200,13
07/15 09:06:42,감귤(하우스감귤),1kg,1200,13
07/15 09:06:42,감귤(하우스감귤),1kg,1200,13
07/15 09:06:09,감귤(하우스감귤),1kg,6333,27
07/15 09:06:09,감귤(하우스감귤),1kg,6333,28
07/15 09:06:06,감귤(하우스감귤),1kg,6333,30
07/15 09:06:06,감귤(하우스감귤),1kg,6333,29
07/15 09:06:03,감귤(하우스감귤),1kg,6000,30
07/15 09:05:52,감귤(하우스감귤),1kg,6333,30
07/15 09:05:52,감귤(하우스감귤),1kg,6333,30
07/15 09:00:46,감귤(하우스감귤),1kg,2160,75
07/15 09:00:39,감귤(하우스감귤),1kg,1780,33
07/15 09:00:33,감귤(하우스감귤),1kg,1580,11
07/15 09:00:27,감귤(하우스감귤),1kg,1380,11
07/15 08:52:32,감귤(하우스감귤),1kg,3333,1
07/15 08:50:49,감귤(하우스감귤),1kg,760,60
07/15 08:50:38,감귤(하우스감귤),1kg,760,60
07/15 08:50:21,감귤(하우스감귤),1kg,760,120
07/15 08:50:15,감귤(하우스감귤),1kg,740,120
07/15 08:50:14,감귤(하우스감귤),1kg,740,120
07/15 08:50:11,감귤(하우스감귤),1kg,740,120
07/15 08:50:06,감귤(하우스감귤),1kg,3333,1
07/15 08:50:01,감귤(하우스감귤),1kg,6000,22
07/15 08:49:52,감귤(하우스감귤),1kg,6000,30
07/15 08:49:49,감귤(하우스감귤),1kg,6000,30
07/15 08:49:45,감귤(하우스감귤),1kg,6000,30
07/15 08:49:42,감귤(하우스감귤),1kg,6000,30
07/15 08:49:19,감귤(하우스감귤),1kg,5666,16
07/15 08:49:18,감귤(하우스감귤),1kg,5666,20
07/15 08:49:18,감귤(하우스감귤),1kg,5666,20
07/15 08:48:45,감귤(하우스감귤),1kg,540,160
07/15 08:48:44,감귤(하우스감귤),1kg,540,160
07/15 08:48:41,감귤(하우스감귤),1kg,540,160
07/15 08:48:32,감귤(하우스감귤),1kg,6333,10
07/15 08:48:28,감귤(하우스감귤),1kg,6666,23
07/15 08:48:22,감귤(하우스감귤),1kg,6000,25
07/15 08:48:04,감귤(하우스감귤),1kg,5000,20
07/15 08:43:59,감귤(하우스감귤),1kg,3333,24
07/15 08:43:59,감귤(하우스감귤),1kg,3666,10
07/15 08:43:59,감귤(하우스감귤),1kg,3666,10
07/15 08:43:59,감귤(하우스감귤),1kg,3333,20
07/15 08:43:59,감귤(하우스감귤),1kg,4000,19
07/15 08:21:13,감귤(하우스감귤),1kg,6600,12
07/15 08:21:13,감귤(하우스감귤),1kg,74,24
07/15 08:21:13,감귤(하우스감귤),1kg,5333,4
07/15 08:21:13,감귤(하우스감귤),1kg,6600,12
07/15 08:21:13,감귤(하우스감귤),1kg,6400,12
07/15 08:21:13,감귤(하우스감귤),1kg,900,12
07/15 08:21:13,감귤(하우스감귤),1kg,8500,56
07/15 08:19:02,감귤(하우스감귤),1kg,5500,26
07/15 08:18:51,감귤(하우스감귤),1kg,5500,20
07/15 08:18:42,감귤(하우스감귤),1kg,5833,22
07/15 08:18:39,감귤(하우스감귤),1kg,5666,30
07/15 08:18:32,감귤(온주),1kg,6200,29
07/15 08:18:32,감귤(온주),1kg,5833,5
07/15 08:18:32,감귤(온주),1kg,6100,25
07/15 08:18:30,감귤(하우스감귤),1kg,6333,11
07/15 08:18:26,감귤(하우스감귤),1kg,6333,21
07/15 08:18:15,감귤(하우스감귤),1kg,2000,20
07/15 08:18:13,감귤(하우스감귤),1kg,2000,21
07/15 08:17:58,감귤(하우스감귤),1kg,1600,9
07/15 08:17:49,감귤(하우스감귤),1kg,800,2
07/15 08:17:05,감귤(하우스감귤),1kg,5000,10
07/15 08:16:59,감귤(하우스감귤),1kg,5333,6
07/15 08:16:51,감귤(하우스감귤),1kg,5333,17
07/15 08:16:21,감귤(하우스감귤),1kg,600,6
07/15 08:16:09,감귤(하우스감귤),1kg,2000,2
07/15 08:10:36,감귤(온주),1kg,3600,7
07/15 08:09:31,감귤(하우스감귤),1kg,5666,37
07/15 08:09:10,감귤(하우스감귤),1kg,6000,34
07/15 08:09:01,감귤(하우스감귤),1kg,6833,54
07/15 08:08:56,감귤(하우스감귤),1kg,7000,13
07/15 08:08:37,감귤(하우스감귤),1kg,833,140
07/15 08:08:37,감귤(하우스감귤),1kg,833,140
07/15 08:08:37,감귤(하우스감귤),1kg,833,140
07/15 08:08:23,감귤(하우스감귤),1kg,4333,40
07/15 08:08:19,감귤(하우스감귤),1kg,4666,16
07/15 08:07:58,감귤(하우스감귤),1kg,4000,36
07/15 08:07:41,감귤(하우스감귤),1kg,3666,46
07/15 08:07:32,감귤(하우스감귤),1kg,4333,23
07/15 08:07:14,감귤(하우스감귤),1kg,4333,22
07/15 08:07:11,감귤(조생귤),1kg,5000,17
07/15 08:05:31,감귤(하우스감귤),1kg,6000,5
07/15 08:05:24,감귤(하우스감귤),1kg,5833,5
07/15 08:05:06,감귤(하우스감귤),1kg,4860,14
07/15 08:04:55,감귤(하우스감귤),1kg,5200,10
07/15 08:04:47,감귤(하우스감귤),1kg,5666,29
07/15 08:04:38,감귤(하우스감귤),1kg,5166,26
07/15 08:04:28,감귤(하우스감귤),1kg,5166,16
07/15 08:04:22,감귤(하우스감귤),1kg,5266,17
07/15 08:04:16,감귤(하우스감귤),1kg,4866,22
07/15 08:03:52,감귤(하우스감귤),1kg,6000,50
07/15 08:03:45,감귤(하우스감귤),1kg,7600,50
07/15 08:03:40,감귤(하우스감귤),1kg,7766,49
07/15 08:03:33,감귤(하우스감귤),1kg,7933,50
07/15 08:03:26,감귤(하우스감귤),1kg,7500,51
07/15 08:02:56,감귤(하우스감귤),1kg,4000,39
07/15 08:02:47,감귤(하우스감귤),1kg,3666,30
07/15 08:02:31,감귤(온주),1kg,4200,14
07/15 08:02:26,감귤(온주),1kg,3600,3
07/15 08:02:11,감귤(온주),1kg,5666,18
