경매시간,품목(품종),규격(전체),경락가,거래량
02/16 12:57:50,느타리버섯(느타리버섯(일반)),1kg,3550,15
02/16 12:45:34,느타리버섯(느타리버섯(일반)),1kg,3450,8
02/16 12:45:29,느타리버섯(느타리버섯(일반)),1kg,3450,2
02/16 12:45:24,느타리버섯(느타리버섯(일반)),1kg,3450,10
02/16 12:45:19,느타리버섯(느타리버섯(일반)),1kg,3450,10
02/16 12:45:15,느타리버섯(느타리버섯(일반)),1kg,2650,50
02/16 12:45:13,느타리버섯(느타리버섯(일반)),1kg,2900,55
02/16 12:45:09,느타리버섯(느타리버섯(일반)),1kg,2650,10
02/16 12:45:03,느타리버섯(느타리버섯(일반)),1kg,3450,40
02/16 12:44:44,느타리버섯(느타리버섯(일반)),1kg,3450,50
02/16 12:44:39,느타리버섯(느타리버섯(일반)),1kg,7500,3
02/16 12:44:32,느타리버섯(느타리버섯(일반)),1kg,3500,14
02/16 12:44:18,느타리버섯(느타리버섯(일반)),1kg,3500,20
02/16 12:44:15,느타리버섯(느타리버섯(일반)),1kg,3100,10
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,8
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,40
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,12
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,1
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,2
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,5
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,10
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,5
02/16 12:40:19,느타리버섯(애느타리),1kg,2500,1
02/16 12:35:15,느타리버섯(느타리버섯(일반)),1kg,2750,10
02/16 12:35:11,느타리버섯(느타리버섯(일반)),1kg,3250,10
02/16 12:35:10,느타리버섯(느타리버섯(일반)),1kg,3100,10
02/16 12:29:24,느타리버섯(느타리버섯(일반)),1kg,2850,22
02/16 12:29:20,느타리버섯(느타리버섯(일반)),1kg,2250,4
02/16 12:29:16,느타리버섯(느타리버섯(일반)),1kg,2850,13
02/16 12:29:11,느타리버섯(느타리버섯(일반)),1kg,3300,5
02/16 12:29:07,느타리버섯(느타리버섯(일반)),1kg,3800,10
02/16 12:29:02,느타리버섯(느타리버섯(일반)),1kg,2250,7
02/16 12:28:57,느타리버섯(느타리버섯(일반)),1kg,2650,9
02/16 12:28:53,느타리버섯(느타리버섯(일반)),1kg,3150,21
02/16 12:28:49,느타리버섯(느타리버섯(일반)),1kg,3350,23
02/16 12:28:41,느타리버섯(느타리버섯(일반)),1kg,3400,24
02/16 12:28:30,느타리버섯(느타리버섯(일반)),1kg,500,3
02/16 12:28:26,느타리버섯(느타리버섯(일반)),1kg,2100,6
02/16 12:28:19,느타리버섯(느타리버섯(일반)),1kg,2550,4
02/16 12:28:15,느타리버섯(느타리버섯(일반)),1kg,2750,5
02/16 12:28:08,느타리버섯(느타리버섯(일반)),1kg,3500,30
02/16 12:26:26,느타리버섯(느타리버섯(일반)),1kg,1300,10
02/16 12:26:14,느타리버섯(느타리버섯(일반)),1kg,2850,10
02/16 12:26:09,느타리버섯(느타리버섯(일반)),1kg,2800,20
02/16 12:26:06,느타리버섯(느타리버섯(일반)),1kg,2800,20
02/16 12:26:03,느타리버섯(느타리버섯(일반)),1kg,2800,20
02/16 12:26:01,느타리버섯(느타리버섯(일반)),1kg,2800,20
02/16 12:25:56,느타리버섯(느타리버섯(일반)),1kg,2850,20
02/16 12:25:54,느타리버섯(느타리버섯(일반)),1kg,2850,20
02/16 12:25:51,느타리버섯(느타리버섯(일반)),1kg,2900,20
02/16 12:25:48,느타리버섯(느타리버섯(일반)),1kg,2900,20
02/16 12:25:45,느타리버섯(느타리버섯(일반)),1kg,2900,20
02/16 12:25:43,느타리버섯(느타리버섯(일반)),1kg,2900,20
02/16 12:25:40,느타리버섯(느타리버섯(일반)),1kg,2850,20
02/16 12:25:38,느타리버섯(느타리버섯(일반)),1kg,2800,20
02/16 12:25:36,느타리버섯(느타리버섯(일반)),1kg,2750,20
02/16 12:25:23,느타리버섯(느타리버섯(일반)),1kg,2300,20
02/16 12:25:20,느타리버섯(느타리버섯(일반)),1kg,2300,20
02/16 12:25:17,느타리버섯(느타리버섯(일반)),1kg,2300,20
02/16 12:25:15,느타리버섯(느타리버섯(일반)),1kg,2250,20
02/16 12:25:06,느타리버섯(느타리버섯(일반)),1kg,3400,22
02/16 12:25:01,느타리버섯(느타리버섯(일반)),1kg,3100,12
02/16 12:24:58,느타리버섯(느타리버섯(일반)),1kg,3800,38
02/16 12:24:52,느타리버섯(느타리버섯(일반)),1kg,2000,1
02/16 12:24:48,느타리버섯(느타리버섯(일반)),1kg,3150,8
02/16 12:24:33,느타리버섯(느타리버섯(일반)),1kg,2350,15
02/16 12:24:29,느타리버섯(느타리버섯(일반)),1kg,3300,30
02/16 12:24:23,느타리버섯(느타리버섯(일반)),1kg,2300,5
02/16 12:24:18,느타리버섯(느타리버섯(일반)),1kg,3800,31
02/16 12:24:04,느타리버섯(느타리버섯(일반)),1kg,2150,4
02/16 12:24:00,느타리버섯(느타리버섯(일반)),1kg,2700,9
02/16 12:23:54,느타리버섯(느타리버섯(일반)),1kg,3750,29
02/16 12:23:51,느타리버섯(느타리버섯(일반)),1kg,3700,30
02/16 12:23:37,느타리버섯(느타리버섯(일반)),1kg,2400,15
02/16 12:23:33,느타리버섯(느타리버섯(일반)),1kg,3300,33
02/16 12:10:12,느타리버섯(느타리버섯(일반)),1kg,2750,50
02/16 12:10:03,느타리버섯(느타리버섯(일반)),1kg,2750,50
02/16 12:09:57,느타리버섯(느타리버섯(일반)),1kg,2750,50
02/16 12:09:49,느타리버섯(느타리버섯(일반)),1kg,2700,50
02/16 12:03:17,느타리버섯(기타느타리버섯),1kg,3335,120
02/16 12:02:20,느타리버섯(기타느타리버섯),1kg,2200,20
02/16 12:02:20,느타리버섯(기타느타리버섯),1kg,2200,50
02/16 11:47:26,느타리버섯(기타느타리버섯),1kg,3850,11
02/16 11:47:21,느타리버섯(기타느타리버섯),1kg,5900,15
02/16 11:47:14,느타리버섯(기타느타리버섯),1kg,3850,6
02/16 11:47:09,느타리버섯(기타느타리버섯),1kg,4450,24
02/16 11:47:03,느타리버섯(기타느타리버섯),1kg,6800,11
02/16 11:47:00,느타리버섯(기타느타리버섯),1kg,6600,11
02/16 11:46:57,느타리버섯(기타느타리버섯),1kg,6400,11
02/16 11:46:55,느타리버섯(기타느타리버섯),1kg,6150,11
02/16 11:46:48,느타리버섯(기타느타리버섯),1kg,3350,5
02/16 11:46:43,느타리버섯(기타느타리버섯),1kg,4000,20
02/16 11:46:37,느타리버섯(기타느타리버섯),1kg,4700,13
02/16 11:44:48,느타리버섯(느타리버섯(일반)),1kg,2750,5
02/16 11:42:52,느타리버섯(느타리버섯(일반)),1kg,2750,5
02/16 11:36:39,느타리버섯(느타리버섯(일반)),1kg,2500,17
02/16 11:36:35,느타리버섯(느타리버섯(일반)),1kg,2350,20
02/16 11:36:31,느타리버섯(느타리버섯(일반)),1kg,3600,10
02/16 11:35:10,느타리버섯(기타느타리버섯),1kg,1700,20
02/16 11:34:52,느타리버섯(기타느타리버섯),1kg,2550,20
02/16 11:34:35,느타리버섯(기타느타리버섯),1kg,2150,20
