경매시간,품목(품종),규격(전체),경락가,거래량
0,단감(차랑),1kg,4600,18
0,단감(차랑),1kg,4600,8
0,단감(차랑),1kg,4600,1
0,단감(차랑),1kg,4500,17
0,단감(차랑),1kg,4200,7
0,단감(차랑),1kg,4000,6
0,단감(차랑),1kg,3100,1
12/16 08:52:16,단감(부유),1kg,2900,1
12/16 08:52:09,단감(부유),1kg,3680,7
12/16 08:52:03,단감(부유),1kg,4200,9
12/16 08:51:55,단감(부유),1kg,5180,7
12/16 08:51:43,단감(부유),1kg,5330,2
12/16 08:51:34,단감(부유),1kg,3100,5
12/16 08:51:23,단감(부유),1kg,3850,20
12/16 08:51:17,단감(부유),1kg,4600,5
12/16 08:51:11,단감(부유),1kg,4930,5
12/16 08:51:05,단감(부유),1kg,4900,5
12/16 08:41:20,단감(차랑),1kg,4400,2
12/16 08:41:20,단감(차랑),1kg,3500,4
12/16 08:40:59,단감(차랑),1kg,6200,1
12/16 08:38:57,단감(차랑),1kg,1050,1
12/16 08:38:51,단감(차랑),1kg,1700,9
12/16 08:38:46,단감(차랑),1kg,1800,25
12/16 08:38:10,단감(부유),1kg,2900,2
12/16 08:38:03,단감(부유),1kg,3200,2
12/16 08:37:57,단감(부유),1kg,3500,2
12/16 08:37:51,단감(부유),1kg,3700,4
12/16 08:37:46,단감(부유),1kg,3900,7
12/16 08:37:40,단감(부유),1kg,4200,10
12/16 08:37:34,단감(부유),1kg,4500,7
12/16 08:37:27,단감(부유),1kg,5800,6
12/16 08:37:20,단감(부유),1kg,5800,2
12/16 08:37:14,단감(차랑),1kg,3800,12
12/16 08:37:09,단감(차랑),1kg,4100,18
12/16 08:37:00,단감(차랑),1kg,5300,6
12/16 08:36:54,단감(차랑),1kg,5700,6
12/16 08:33:20,단감(부유),1kg,3300,2
12/16 08:33:15,단감(부유),1kg,5800,1
12/16 08:29:32,단감(부유),1kg,3900,5
12/16 08:29:26,단감(부유),1kg,4150,6
12/16 08:29:22,단감(부유),1kg,4300,8
12/16 08:28:04,단감(부유),1kg,5500,2
12/16 08:27:47,단감(차랑),1kg,5200,1
12/16 08:27:45,단감(부유),1kg,3300,1
12/16 08:27:40,단감(부유),1kg,3600,9
12/16 08:27:35,단감(부유),1kg,5700,14
12/16 08:27:34,단감(차랑),1kg,3000,2
12/16 08:27:30,단감(부유),1kg,5600,5
12/16 08:27:30,단감(차랑),1kg,3200,5
12/16 08:27:25,단감(차랑),1kg,3200,2
12/16 08:27:20,단감(차랑),1kg,3400,11
12/16 08:27:16,단감(차랑),1kg,3500,8
12/16 08:27:01,단감(차랑),1kg,3700,8
12/16 08:26:45,단감(차랑),1kg,4300,3
12/16 08:26:24,단감(차랑),1kg,4300,2
12/16 08:26:18,단감(차랑),1kg,4800,2
12/16 08:26:11,단감(차랑),1kg,5000,4
12/16 08:26:05,단감(차랑),1kg,5200,7
12/16 08:25:54,단감(차랑),1kg,5700,10
12/16 08:25:31,단감(차랑),1kg,6100,3
12/16 08:12:36,단감(부유),1kg,2390,7
12/16 08:12:31,단감(부유),1kg,2950,27
12/16 08:12:25,단감(부유),1kg,3000,14
12/16 08:12:18,단감(부유),1kg,3190,15
12/16 08:12:13,단감(부유),1kg,3230,26
12/16 08:12:08,단감(부유),1kg,3390,12
12/16 07:58:56,단감(부유),1kg,2300,3
12/16 07:58:52,단감(부유),1kg,2600,9
12/16 07:58:48,단감(부유),1kg,3000,5
12/16 07:58:41,단감(부유),1kg,3200,10
12/16 07:58:18,단감(부유),1kg,2500,1
12/16 07:58:14,단감(부유),1kg,2900,8
12/16 07:58:03,단감(부유),1kg,3300,10
12/16 07:58:03,단감(부유),1kg,3300,10
12/16 07:57:44,단감(부유),1kg,3600,15
12/16 07:57:19,단감(부유),1kg,4000,11
12/16 07:56:45,단감(부유),1kg,3300,6
12/16 07:56:23,단감(부유),1kg,3400,2
12/16 07:54:48,단감(부유),1kg,2400,2
12/16 07:54:43,단감(부유),1kg,2800,2
12/16 07:54:39,단감(부유),1kg,3100,8
12/16 07:54:27,단감(부유),1kg,3500,10
12/16 07:53:29,단감(차랑),1kg,4600,4
12/16 07:53:20,단감(부유),1kg,3300,1
12/16 07:53:06,단감(부유),1kg,3500,1
12/16 07:52:50,단감(부유),1kg,4500,3
12/16 07:52:43,단감(부유),1kg,4830,7
12/16 07:52:35,단감(부유),1kg,5150,6
12/16 07:52:23,단감(부유),1kg,5210,5
12/16 07:52:18,단감(부유),1kg,5200,1
12/16 07:51:24,단감(차랑),1kg,4800,8
12/16 07:50:55,단감(차랑),1kg,4600,11
12/16 07:50:51,단감(차랑),1kg,4400,9
12/16 07:50:28,단감(차랑),1kg,3900,3
12/16 07:50:22,단감(차랑),1kg,4200,10
12/16 07:50:15,단감(차랑),1kg,4200,7
12/16 07:50:02,단감(오각기),1kg,4800,8
12/16 07:50:02,단감(오각기),1kg,4400,12
12/16 07:50:02,단감(오각기),1kg,4800,9
12/16 07:49:49,단감(오각기),1kg,2600,2
12/16 07:49:49,단감(오각기),1kg,3700,1
12/16 07:49:49,단감(오각기),1kg,4800,15
12/16 07:49:49,단감(오각기),1kg,4800,10
12/16 07:49:49,단감(오각기),1kg,4200,15
12/16 07:49:49,단감(오각기),1kg,5300,9
12/16 07:49:48,단감(차랑),1kg,4500,10
12/16 07:49:11,단감(차랑),1kg,4900,2
12/16 07:49:06,단감(차랑),1kg,4850,5
12/16 07:49:01,단감(차랑),1kg,5100,7
12/16 07:48:49,단감(차랑),1kg,5300,4
12/16 07:47:23,단감(차랑),1kg,2300,2
12/16 07:47:07,단감(차랑),1kg,3200,2
12/16 07:46:58,단감(부유),1kg,2000,1
12/16 07:46:58,단감(부유),1kg,2000,1
12/16 07:46:54,단감(부유),1kg,2400,1
12/16 07:46:54,단감(부유),1kg,2400,1
12/16 07:46:49,단감(부유),1kg,3000,7
12/16 07:46:49,단감(부유),1kg,3000,7
12/16 07:46:42,단감(부유),1kg,3300,3
12/16 07:46:42,단감(부유),1kg,3300,3
12/16 07:46:39,단감(차랑),1kg,4200,5
12/16 07:46:37,단감(부유),1kg,3350,3
12/16 07:46:37,단감(부유),1kg,3350,3
12/16 07:46:31,단감(부유),1kg,3500,8
12/16 07:46:31,단감(부유),1kg,3500,8
12/16 07:46:29,단감(차랑),1kg,4700,11
12/16 07:46:23,단감(차랑),1kg,4400,5
12/16 07:46:23,단감(차랑),1kg,4400,5
12/16 07:46:17,단감(차랑),1kg,4500,11
12/16 07:46:17,단감(차랑),1kg,4500,11
12/16 07:46:12,단감(차랑),1kg,4500,8
12/16 07:46:12,단감(차랑),1kg,4500,8
12/16 07:46:09,단감(차랑),1kg,5200,9
12/16 07:46:08,단감(차랑),1kg,4700,8
12/16 07:46:08,단감(차랑),1kg,4700,8
12/16 07:46:02,단감(차랑),1kg,5100,4
12/16 07:46:02,단감(차랑),1kg,5100,4
12/16 07:45:56,단감(차랑),1kg,5200,2
12/16 07:45:56,단감(차랑),1kg,5200,2
12/16 07:45:43,단감(차랑),1kg,3800,2
12/16 07:45:43,단감(차랑),1kg,3800,2
12/16 07:45:33,단감(차랑),1kg,4000,2
12/16 07:45:33,단감(차랑),1kg,4000,2
12/16 07:45:27,단감(차랑),1kg,4400,3
12/16 07:45:27,단감(차랑),1kg,4400,3
12/16 07:45:22,단감(차랑),1kg,4600,5
12/16 07:45:22,단감(차랑),1kg,4600,5
12/16 07:45:15,단감(차랑),1kg,4800,8
12/16 07:45:15,단감(차랑),1kg,4800,8
12/16 07:45:08,단감(차랑),1kg,5300,6
12/16 07:45:08,단감(차랑),1kg,5300,6
12/16 07:44:59,단감(차랑),1kg,5500,3
12/16 07:44:59,단감(차랑),1kg,5500,3
12/16 07:44:40,단감(차랑),1kg,6000,2
12/16 07:43:48,단감(부유),1kg,4600,100
12/16 07:43:48,단감(부유),1kg,4000,50
12/16 07:43:23,단감(부유),1kg,5000,64
12/16 07:43:23,단감(부유),1kg,5000,64
12/16 07:40:44,단감(차랑),1kg,4500,4
12/16 07:22:31,단감(부유),1kg,4450,12
12/16 07:12:47,단감(부유),1kg,5400,10
12/16 07:12:43,단감(부유),1kg,5350,13
12/16 07:12:39,단감(부유),1kg,5350,14
12/16 07:12:29,단감(부유),1kg,4850,22
12/16 07:12:25,단감(부유),1kg,5100,10
12/16 07:12:19,단감(부유),1kg,5300,25
12/16 07:12:13,단감(부유),1kg,5300,11
12/16 07:12:06,단감(부유),1kg,5600,10
12/16 07:04:59,단감(부유),1kg,3300,4
12/16 07:04:51,단감(부유),1kg,3500,6
12/16 07:04:45,단감(부유),1kg,3600,6
12/16 07:04:38,단감(부유),1kg,3700,6
12/16 07:03:40,단감(부유),1kg,3200,17
