경매시간,품목(품종),규격(전체),경락가,거래량
08/16 12:57:48,대파(대파(일반)),1kg,1050,1
08/16 12:57:33,대파(대파(일반)),1kg,1050,19
08/16 12:55:23,대파(대파(일반)),1kg,1400,30
08/16 12:52:28,대파(대파(일반)),1kg,2100,10
08/16 12:46:16,대파(대파(일반)),1kg,950,78
08/16 12:46:11,대파(대파(일반)),1kg,900,80
08/16 12:40:30,대파(대파(일반)),1kg,1000,15
08/16 12:38:44,대파(대파(일반)),1kg,2000,160
08/16 12:38:41,대파(대파(일반)),1kg,1900,160
08/16 12:38:35,대파(대파(일반)),1kg,1900,180
08/16 12:19:25,대파(대파(일반)),1kg,850,15
08/16 12:19:17,대파(대파(일반)),1kg,800,20
08/16 12:17:20,대파(대파(일반)),1kg,800,40
08/16 12:17:16,대파(대파(일반)),1kg,700,30
08/16 12:17:12,대파(대파(일반)),1kg,850,280
08/16 12:11:50,대파(대파(일반)),1kg,2350,100
08/16 12:11:48,대파(대파(일반)),1kg,2300,100
08/16 12:11:45,대파(대파(일반)),1kg,2200,100
08/16 12:11:24,대파(대파(일반)),1kg,2000,100
08/16 12:11:21,대파(대파(일반)),1kg,1950,100
08/16 12:11:19,대파(대파(일반)),1kg,1950,100
08/16 12:11:16,대파(대파(일반)),1kg,1950,100
08/16 12:11:13,대파(대파(일반)),1kg,1900,100
08/16 12:05:49,대파(대파(일반)),1kg,1000,230
08/16 12:00:00,대파(대파(일반)),1kg,1250,5
08/16 09:58:53,대파(대파(일반)),1kg,1740,1
08/16 09:58:53,대파(대파(일반)),1kg,1790,10
08/16 09:47:31,대파(대파(일반)),1kg,1500,315
08/16 08:33:47,대파(대파(일반)),1kg,1040,7
08/16 08:33:42,대파(대파(일반)),1kg,1320,9
08/16 08:27:33,대파(대파(일반)),1kg,1400,2
08/16 08:27:27,대파(대파(일반)),1kg,1940,15
08/16 08:25:17,대파(대파(일반)),1kg,1300,5
08/16 08:25:08,대파(대파(일반)),1kg,1660,5
08/16 08:24:51,대파(대파(일반)),1kg,2300,12
08/16 08:23:22,대파(대파(일반)),1kg,1200,2
08/16 08:23:16,대파(깐대파),1kg,2600,20
08/16 08:23:16,대파(깐대파),1kg,2600,10
08/16 08:23:16,대파(깐대파),1kg,2600,10
08/16 08:23:16,대파(깐대파),1kg,2600,10
08/16 08:23:16,대파(깐대파),1kg,2600,40
08/16 08:23:16,대파(깐대파),1kg,2600,8
08/16 08:23:16,대파(깐대파),1kg,2600,5
08/16 08:23:13,대파(대파(일반)),1kg,1600,5
08/16 08:23:04,대파(대파(일반)),1kg,2000,9
08/16 08:22:53,대파(깐대파),1kg,2600,5
08/16 08:22:53,대파(깐대파),1kg,2600,10
08/16 08:22:53,대파(깐대파),1kg,2600,10
08/16 08:22:53,대파(깐대파),1kg,2600,8
08/16 08:22:11,대파(대파(일반)),1kg,800,20
08/16 08:22:09,대파(대파(일반)),1kg,775,20
08/16 08:19:59,대파(대파(일반)),1kg,1320,11
08/16 08:19:53,대파(대파(일반)),1kg,1600,10
08/16 08:19:27,대파(대파(일반)),1kg,1500,80
08/16 08:18:05,대파(대파(일반)),1kg,1120,8
08/16 08:18:01,대파(대파(일반)),1kg,1380,6
08/16 08:17:58,대파(대파(일반)),1kg,1600,7
08/16 08:17:56,대파(대파(일반)),1kg,1660,8
08/16 08:17:51,대파(대파(일반)),1kg,1820,16
08/16 08:17:07,대파(대파(일반)),1kg,1200,1
08/16 08:17:02,대파(대파(일반)),1kg,1380,5
08/16 08:16:57,대파(대파(일반)),1kg,1840,30
08/16 08:16:49,대파(대파(일반)),1kg,1240,2
08/16 08:16:40,대파(대파(일반)),1kg,1320,5
08/16 08:16:34,대파(대파(일반)),1kg,1860,36
08/16 08:16:11,대파(대파(일반)),1kg,1320,7
08/16 08:16:05,대파(대파(일반)),1kg,1380,16
08/16 08:14:51,대파(대파(일반)),1kg,1500,20
08/16 08:14:43,대파(대파(일반)),1kg,1100,1
