경매시간,품목(품종),규격(전체),경락가,거래량
0,대파(대파(일반)),1kg,3570,10
0,대파(대파(일반)),1kg,2150,30
0,대파(대파(일반)),1kg,2150,30
0,대파(대파(일반)),1kg,2150,60
0,대파(대파(일반)),1kg,2150,70
0,대파(대파(일반)),1kg,2175,60
0,대파(대파(일반)),1kg,2175,30
0,대파(대파(일반)),1kg,1925,60
0,대파(대파(일반)),1kg,1000,4
11/16 12:33:22,대파(대파(일반)),1kg,2800,30
11/16 12:23:21,대파(대파(일반)),1kg,2700,100
11/16 12:23:19,대파(대파(일반)),1kg,2650,100
11/16 12:23:16,대파(대파(일반)),1kg,2600,100
11/16 12:23:13,대파(대파(일반)),1kg,2600,100
11/16 12:23:10,대파(대파(일반)),1kg,2600,110
11/16 12:23:01,대파(대파(일반)),1kg,2400,100
11/16 12:22:56,대파(대파(일반)),1kg,2450,100
11/16 12:22:53,대파(대파(일반)),1kg,2400,100
11/16 12:22:50,대파(대파(일반)),1kg,2400,100
11/16 12:22:47,대파(대파(일반)),1kg,2400,100
11/16 12:13:41,대파(대파(일반)),1kg,2700,18
11/16 12:13:27,대파(대파(일반)),1kg,2550,45
11/16 12:13:18,대파(대파(일반)),1kg,2500,100
11/16 12:13:15,대파(대파(일반)),1kg,2500,100
11/16 12:12:37,대파(대파(일반)),1kg,1800,65
11/16 12:01:12,대파(대파(일반)),1kg,1000,2
11/16 12:01:12,대파(대파(일반)),1kg,1000,2
11/16 12:00:53,대파(대파(일반)),1kg,2000,12
11/16 12:00:53,대파(대파(일반)),1kg,2000,12
11/16 10:47:26,대파(대파(일반)),1kg,1000,500
11/16 10:40:16,대파(대파(일반)),1kg,1000,20
11/16 08:41:29,대파(대파(일반)),1kg,1380,7
11/16 08:41:22,대파(대파(일반)),1kg,1900,21
11/16 08:41:15,대파(대파(일반)),1kg,1700,10
11/16 08:40:42,대파(대파(일반)),1kg,700,2
11/16 08:40:34,대파(대파(일반)),1kg,800,2
11/16 08:40:25,대파(대파(일반)),1kg,1100,3
11/16 08:39:53,대파(대파(일반)),1kg,1240,3
11/16 08:39:43,대파(대파(일반)),1kg,1540,14
11/16 08:39:32,대파(대파(일반)),1kg,1760,23
11/16 08:39:24,대파(대파(일반)),1kg,1760,23
11/16 08:39:13,대파(대파(일반)),1kg,1760,24
11/16 08:38:54,대파(대파(일반)),1kg,1100,8
11/16 08:38:45,대파(대파(일반)),1kg,1260,19
11/16 08:28:52,대파(대파(일반)),1kg,1220,7
11/16 08:28:42,대파(대파(일반)),1kg,1300,11
11/16 08:28:34,대파(대파(일반)),1kg,1700,24
11/16 08:28:27,대파(대파(일반)),1kg,1660,40
11/16 08:27:10,대파(대파(일반)),1kg,1740,20
11/16 08:27:08,대파(대파(일반)),1kg,1740,20
11/16 08:26:46,대파(대파(일반)),1kg,2300,300
11/16 08:26:45,대파(대파(일반)),1kg,1020,9
11/16 08:26:42,대파(대파(일반)),1kg,2300,500
11/16 08:26:42,대파(대파(일반)),1kg,2300,1000
11/16 08:26:38,대파(대파(일반)),1kg,1460,14
11/16 08:26:06,대파(대파(일반)),1kg,1160,14
11/16 08:25:55,대파(대파(일반)),1kg,1660,24
11/16 08:25:30,대파(대파(일반)),1kg,1100,6
11/16 08:25:18,대파(대파(일반)),1kg,1580,24
11/16 08:24:09,대파(대파(일반)),1kg,1100,4
11/16 08:24:03,대파(대파(일반)),1kg,1340,15
11/16 08:23:33,대파(대파(일반)),1kg,1520,12
11/16 08:23:11,대파(대파(일반)),1kg,1360,24
11/16 08:22:54,대파(대파(일반)),1kg,1800,8
11/16 07:48:19,대파(대파(일반)),1kg,2800,300
11/16 07:48:02,대파(대파(일반)),1kg,2800,250
11/16 07:46:56,대파(대파(수입)),1kg,1000,20
11/16 07:26:20,대파(대파(일반)),1kg,2500,100
11/16 07:26:17,대파(대파(일반)),1kg,2333,130
11/16 07:26:17,대파(대파(일반)),1kg,1666,132
11/16 07:26:03,대파(대파(일반)),1kg,2600,100
11/16 07:26:03,대파(대파(일반)),1kg,2600,100
11/16 07:26:03,대파(대파(일반)),1kg,2600,100
11/16 07:26:03,대파(대파(일반)),1kg,2600,5
11/16 07:26:03,대파(대파(일반)),1kg,2600,100
11/16 07:26:03,대파(대파(일반)),1kg,2600,100
11/16 07:26:03,대파(대파(일반)),1kg,2600,100
11/16 07:26:03,대파(대파(일반)),1kg,2600,105
11/16 07:16:27,대파(대파(일반)),1kg,2800,400
11/16 07:15:16,대파(대파(일반)),1kg,2870,272
11/16 07:15:16,대파(대파(일반)),1kg,2885,194
11/16 07:15:16,대파(대파(일반)),1kg,2810,268
11/16 07:15:13,대파(대파(일반)),1kg,3440,350
11/16 07:15:13,대파(대파(일반)),1kg,1650,57
11/16 07:15:13,대파(대파(일반)),1kg,1500,65
11/16 07:15:13,대파(대파(일반)),1kg,1705,71
