경매시간,품목(품종),규격(전체),경락가,거래량
02/16 08:44:01,떫은감(대봉시),1kg,300,3
02/16 08:44:01,떫은감(대봉시),1kg,300,2
02/16 08:44:01,떫은감(대봉시),1kg,300,6
02/16 08:44:01,떫은감(대봉시),1kg,300,5
02/16 08:44:00,떫은감(대봉시),1kg,300,3
02/16 08:44:00,떫은감(대봉시),1kg,300,1
02/16 08:43:56,떫은감(대봉시),1kg,500,3
02/16 08:43:56,떫은감(대봉시),1kg,500,3
02/16 08:43:56,떫은감(대봉시),1kg,500,9
02/16 08:43:56,떫은감(대봉시),1kg,500,15
02/16 08:43:56,떫은감(대봉시),1kg,500,10
02/16 08:43:55,떫은감(대봉시),1kg,500,4
02/16 08:40:52,떫은감(대봉시),1kg,470,4
02/16 08:40:46,떫은감(대봉시),1kg,630,26
02/16 08:40:39,떫은감(대봉시),1kg,900,5
02/16 08:40:32,떫은감(대봉시),1kg,880,1
02/16 08:26:21,떫은감(대봉시),1kg,600,9
02/16 08:26:21,떫은감(대봉시),1kg,600,2
02/16 08:26:21,떫은감(대봉시),1kg,200,9
02/16 08:26:21,떫은감(대봉시),1kg,200,2
02/16 08:26:21,떫은감(대봉시),1kg,600,4
02/16 08:26:21,떫은감(대봉시),1kg,600,9
02/16 08:26:21,떫은감(대봉시),1kg,600,4
02/16 08:26:21,떫은감(대봉시),1kg,600,2
02/16 08:26:21,떫은감(대봉시),1kg,200,4
02/16 08:26:17,떫은감(대봉시),1kg,800,7
02/16 08:26:17,떫은감(대봉시),1kg,800,7
02/16 08:26:17,떫은감(대봉시),1kg,266,7
02/16 08:26:12,떫은감(대봉시),1kg,1000,3
02/16 08:26:12,떫은감(대봉시),1kg,333,3
02/16 08:26:12,떫은감(대봉시),1kg,1000,3
02/16 08:26:09,떫은감(대봉시),1kg,1200,4
02/16 08:26:09,떫은감(대봉시),1kg,1200,4
02/16 08:26:09,떫은감(대봉시),1kg,400,4
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:26:02,떫은감(대봉시),1kg,800,1
02/16 08:25:38,떫은감(대봉시),1kg,500,8
02/16 08:25:38,떫은감(대봉시),1kg,500,4
02/16 08:25:38,떫은감(대봉시),1kg,500,8
02/16 08:25:38,떫은감(대봉시),1kg,500,8
02/16 08:25:38,떫은감(대봉시),1kg,500,4
02/16 08:25:38,떫은감(대봉시),1kg,500,4
02/16 08:25:34,떫은감(대봉시),1kg,600,11
02/16 08:25:34,떫은감(대봉시),1kg,600,16
02/16 08:25:34,떫은감(대봉시),1kg,600,16
02/16 08:25:34,떫은감(대봉시),1kg,600,11
02/16 08:25:34,떫은감(대봉시),1kg,600,16
02/16 08:25:34,떫은감(대봉시),1kg,600,11
02/16 08:25:28,떫은감(대봉시),1kg,600,8
02/16 08:25:28,떫은감(대봉시),1kg,600,8
02/16 08:25:28,떫은감(대봉시),1kg,600,8
02/16 07:53:00,떫은감(대봉시),1kg,550,2
02/16 07:52:57,떫은감(대봉시),1kg,650,11
02/16 07:52:44,떫은감(대봉시),1kg,550,3
02/16 07:52:35,떫은감(대봉시),1kg,800,23
02/16 07:52:32,떫은감(대봉시),1kg,1000,29
02/16 07:52:30,떫은감(대봉시),1kg,1100,7
02/16 06:08:17,떫은감(반시),1kg,636,10
02/16 05:40:21,떫은감(대봉시),1kg,100,40
02/16 05:36:01,떫은감(대봉시),1kg,300,26
02/16 03:02:20,떫은감(대봉시),1kg,200,3
02/16 03:02:06,떫은감(대봉시),1kg,250,44
02/16 03:01:36,떫은감(대봉시),1kg,500,77
02/16 03:01:24,떫은감(대봉시),1kg,750,38
02/16 02:41:15,떫은감(대봉시),1kg,600,60
02/16 02:41:12,떫은감(대봉시),1kg,600,60
02/16 02:41:10,떫은감(대봉시),1kg,600,60
02/16 02:41:07,떫은감(대봉시),1kg,600,60
02/15 08:44:10,떫은감(대봉시),1kg,333,8
