경매시간,품목(품종),규격(전체),경락가,거래량
0,무(세척무),1kg,450,54
0,무(세척무),1kg,450,54
0,무(세척무),1kg,500,54
0,무(세척무),1kg,500,54
12/16 12:49:57,무(무말랭이),1kg,7725,20
12/16 12:15:20,무(다발무),1kg,475,36
12/16 11:44:30,무(기타무),1kg,600,19
12/16 11:44:24,무(기타무),1kg,460,23
12/16 10:54:59,무(기타무),1kg,2875,15
12/16 08:36:25,무(다발무),1kg,207,54
12/16 08:35:42,무(봄무),1kg,275,1
12/16 08:35:33,무(봄무),1kg,275,4
12/16 08:35:21,무(봄무),1kg,275,4
12/16 08:34:56,무(봄무),1kg,275,2
12/16 08:34:34,무(봄무),1kg,240,8
12/16 08:34:21,무(봄무),1kg,225,11
12/16 08:30:12,무(무말랭이),1kg,4000,5
12/16 08:07:10,무(무말랭이),1kg,7000,17
12/16 08:05:06,무(기타무),1kg,100,1
12/16 08:04:56,무(기타무),1kg,175,1
12/16 08:04:51,무(기타무),1kg,175,11
12/16 08:04:41,무(기타무),1kg,165,4
12/16 08:04:31,무(기타무),1kg,205,14
12/16 08:04:23,무(기타무),1kg,195,15
12/16 08:00:05,무(기타무),1kg,1200,43
12/16 07:58:07,무(세척무),1kg,475,54
12/16 07:58:07,무(세척무),1kg,380,54
12/16 07:58:07,무(세척무),1kg,425,54
12/16 07:58:07,무(세척무),1kg,475,54
12/16 07:54:14,무(봄무),1kg,425,53
12/16 07:54:14,무(봄무),1kg,465,107
12/16 07:54:14,무(봄무),1kg,475,54
12/16 07:54:08,무(봄무),1kg,430,54
12/16 07:54:08,무(봄무),1kg,375,53
12/16 07:54:08,무(봄무),1kg,415,107
12/16 07:28:03,무(다발무),1kg,625,100
12/16 07:28:03,무(다발무),1kg,625,100
12/16 07:28:03,무(다발무),1kg,625,100
12/16 07:28:03,무(다발무),1kg,575,100
12/16 07:04:24,무(기타무),1kg,300,400
12/16 05:48:08,무(무말랭이),1kg,6500,1
12/16 05:29:53,무(달랑무),1kg,583,300
12/16 05:29:53,무(달랑무),1kg,583,300
12/16 05:29:40,무(기타무),1kg,100,24
12/16 05:28:21,무(기타무),1kg,400,50
12/16 05:28:21,무(다발무),1kg,300,100
12/16 05:23:38,무(봄무),1kg,475,53
