경매시간,품목(품종),규격(전체),경락가,거래량
08/16 12:55:06,배추(기타배추),1kg,1200,49
08/16 12:55:06,배추(기타배추),1kg,1133,54
08/16 12:55:06,배추(기타배추),1kg,1166,54
08/16 12:55:06,배추(기타배추),1kg,1283,5
08/16 12:55:06,배추(기타배추),1kg,1166,54
08/16 12:49:49,배추(쌈배추),1kg,1716,10
08/16 12:49:49,배추(쌈배추),1kg,1750,10
08/16 12:49:49,배추(쌈배추),1kg,1750,5
08/16 12:49:49,배추(쌈배추),1kg,1683,19
08/16 12:43:27,배추(기타배추),1kg,270,65
08/16 12:43:27,배추(기타배추),1kg,480,135
08/16 12:41:58,배추(기타배추),1kg,360,200
08/16 12:41:28,배추(쌈배추),1kg,2500,3
08/16 12:41:18,배추(기타배추),1kg,600,800
08/16 12:38:08,배추(기타배추),1kg,1777,42
08/16 12:38:03,배추(기타배추),1kg,1733,42
08/16 12:37:59,배추(기타배추),1kg,1666,36
08/16 12:35:30,배추(쌈배추),1kg,2250,20
08/16 12:21:08,배추(기타배추),1kg,1360,6
08/16 12:18:11,배추(쌈배추),1kg,1612,65
08/16 12:18:03,배추(쌈배추),1kg,1575,65
08/16 12:15:08,배추(쌈배추),1kg,3625,40
08/16 12:10:44,배추(기타배추),1kg,1000,2
08/16 12:10:09,배추(고냉지배추),1kg,1032,43
08/16 12:10:09,배추(고냉지배추),1kg,1002,15
08/16 12:08:36,배추(쌈배추),1kg,2120,13
08/16 12:08:26,배추(쌈배추),1kg,4107,2
08/16 09:59:06,배추(봄배추),1kg,1995,8
08/16 09:48:53,배추(우거지),1kg,9450,3
08/16 09:46:47,배추(봄배추),1kg,2400,10
08/16 09:40:42,배추(봄배추),1kg,1680,20
08/16 08:52:46,배추(기타배추),1kg,550,288
08/16 08:52:46,배추(기타배추),1kg,1100,118
08/16 08:52:46,배추(기타배추),1kg,550,80
08/16 08:52:46,배추(기타배추),1kg,330,20
08/16 08:52:46,배추(기타배추),1kg,1100,304
08/16 08:52:46,배추(기타배추),1kg,660,30
08/16 08:52:46,배추(기타배추),1kg,330,62
08/16 08:52:46,배추(기타배추),1kg,660,88
08/16 08:32:48,배추(월동배추),1kg,4320,3
08/16 08:32:48,배추(월동배추),1kg,4320,2
08/16 08:17:19,배추(쌈배추),1kg,3285,2
08/16 08:16:23,배추(여름배추),1kg,20,2
08/16 08:16:20,배추(여름배추),1kg,1000,83
08/16 08:16:17,배추(여름배추),1kg,1000,168
08/16 08:16:12,배추(여름배추),1kg,1200,110
08/16 08:16:08,배추(여름배추),1kg,1200,110
08/16 08:16:04,배추(여름배추),1kg,1600,164
08/16 08:16:01,배추(여름배추),1kg,1600,80
08/16 08:15:57,배추(여름배추),1kg,1600,80
08/16 08:15:55,배추(여름배추),1kg,1600,169
08/16 08:05:24,배추(기타배추),1kg,600,1
08/16 08:05:24,배추(기타배추),1kg,1500,33
08/16 08:05:24,배추(기타배추),1kg,1500,33
08/16 08:05:24,배추(기타배추),1kg,1600,33
08/16 07:49:28,배추(기타배추),1kg,500,18
08/16 07:49:16,배추(기타배추),1kg,666,23
08/16 07:45:57,배추(쌈배추),1kg,3000,200
08/16 07:45:40,배추(쌈배추),1kg,2500,150
08/16 07:45:34,배추(월동배추),1kg,750,40
08/16 07:41:20,배추(쌈배추),1kg,3000,250
08/16 07:33:09,배추(월동배추),1kg,750,40
08/16 07:33:05,배추(월동배추),1kg,750,40
08/16 07:33:04,배추(월동배추),1kg,750,40
08/16 07:33:02,배추(월동배추),1kg,750,40
08/16 07:32:36,배추(월동배추),1kg,1250,160
08/16 07:32:34,배추(월동배추),1kg,1250,160
08/16 07:32:31,배추(월동배추),1kg,1250,160
08/16 07:32:30,배추(월동배추),1kg,1250,160
08/16 07:32:27,배추(월동배추),1kg,1250,160
08/16 07:19:29,배추(쌈배추),1kg,3000,500
08/16 07:17:33,배추(쌈배추),1kg,3000,200
08/16 06:57:48,배추(월동배추),1kg,1383,40
08/16 06:57:34,배추(쌈배추),1kg,900,1
08/16 06:57:27,배추(쌈배추),1kg,1000,8
08/16 06:57:20,배추(쌈배추),1kg,1142,1
08/16 06:55:46,배추(쌈배추),1kg,1750,16
08/16 06:55:42,배추(쌈배추),1kg,1500,24
08/16 06:55:42,배추(쌈배추),1kg,1500,25
08/16 06:55:15,배추(기타배추),1kg,700,25
08/16 06:47:57,배추(월동배추),1kg,600,106
08/16 06:47:53,배추(월동배추),1kg,600,106
08/16 06:47:33,배추(월동배추),1kg,600,106
08/16 06:47:30,배추(월동배추),1kg,600,108
08/16 06:47:29,배추(월동배추),1kg,600,128
08/16 06:47:25,배추(월동배추),1kg,600,192
08/16 06:21:11,배추(쌈배추),1kg,2212,40
08/16 06:20:31,배추(월동배추),1kg,1200,30
08/16 06:20:19,배추(쌈배추),1kg,1566,12
08/16 06:20:10,배추(쌈배추),1kg,2333,40
08/16 06:19:59,배추(쌈배추),1kg,3285,28
08/16 06:19:55,배추(쌈배추),1kg,3285,28
08/16 06:18:48,배추(고냉지배추),1kg,600,19
08/16 06:18:39,배추(고냉지배추),1kg,600,12
08/16 06:18:25,배추(월동배추),1kg,500,44
08/16 06:18:17,배추(월동배추),1kg,660,76
08/16 06:18:02,배추(월동배추),1kg,660,76
08/16 06:17:51,배추(월동배추),1kg,660,76
08/16 06:17:30,배추(월동배추),1kg,660,76
08/16 06:17:14,배추(월동배추),1kg,1050,58
08/16 06:17:05,배추(월동배추),1kg,1050,58
08/16 06:16:56,배추(월동배추),1kg,1050,58
08/16 06:16:45,배추(월동배추),1kg,1050,58
08/16 06:16:37,배추(월동배추),1kg,1300,100
08/16 06:16:29,배추(월동배추),1kg,1300,100
08/16 06:16:23,배추(월동배추),1kg,1300,100
08/16 06:16:19,배추(월동배추),1kg,1300,100
08/16 05:56:24,배추(배추),1kg,700,85
08/16 05:55:57,배추(쌈배추),1kg,1500,10
08/16 05:54:06,배추(기타배추),1kg,692,50
08/16 05:53:47,배추(기타배추),1kg,769,50
08/16 05:53:24,배추(기타배추),1kg,1076,100
08/16 05:42:53,배추(쌈배추),1kg,750,68
08/16 05:42:50,배추(쌈배추),1kg,700,68
08/16 05:42:44,배추(쌈배추),1kg,1000,47
08/16 05:42:41,배추(쌈배추),1kg,1000,47
08/16 05:42:09,배추(쌈배추),1kg,1062,48
08/16 05:41:53,배추(쌈배추),1kg,1850,64
08/16 05:41:16,배추(쌈배추),1kg,1750,64
08/16 05:39:23,배추(쌈배추),1kg,1012,56
08/16 05:39:19,배추(쌈배추),1kg,1000,56
08/16 05:39:15,배추(쌈배추),1kg,1137,56
08/16 05:38:55,배추(쌈배추),1kg,775,33
