경매시간,품목(품종),규격(전체),경락가,거래량
0,배추(김장(가을)배추),1kg,700,10
0,배추(김장(가을)배추),1kg,1000,7
0,배추(김장(가을)배추),1kg,1000,2
0,배추(김장(가을)배추),1kg,1000,10
0,배추(김장(가을)배추),1kg,1000,30
0,배추(쌈배추),1kg,4561,1
0,배추(쌈배추),1kg,4771,1
0,배추(쌈배추),1kg,4070,1
09/16 12:51:20,배추(쌈배추),1kg,2500,7
09/16 12:51:20,배추(쌈배추),1kg,1625,10
09/16 12:51:20,배추(쌈배추),1kg,1625,40
09/16 12:51:20,배추(쌈배추),1kg,2500,10
09/16 12:50:40,배추(우거지),1kg,1200,10
09/16 12:43:56,배추(쌈배추),1kg,4505,5
09/16 12:43:52,배추(쌈배추),1kg,4505,1
09/16 12:43:47,배추(쌈배추),1kg,4505,4
09/16 12:41:06,배추(쌈배추),1kg,6360,5
09/16 12:39:07,배추(쌈배추),1kg,2385,10
09/16 12:39:01,배추(쌈배추),1kg,2385,3
09/16 12:38:58,배추(쌈배추),1kg,2385,10
09/16 12:38:52,배추(쌈배추),1kg,2385,5
09/16 12:38:49,배추(쌈배추),1kg,4505,2
09/16 12:38:42,배추(쌈배추),1kg,4505,1
09/16 12:34:35,배추(쌈배추),1kg,5300,5
09/16 12:33:45,배추(쌈배추),1kg,9010,2
09/16 12:33:42,배추(쌈배추),1kg,9010,1
09/16 12:33:40,배추(쌈배추),1kg,9010,1
09/16 12:33:35,배추(쌈배추),1kg,9010,1
09/16 12:31:49,배추(쌈배추),1kg,2000,20
09/16 12:29:51,배추(기타배추),1kg,8440,3
09/16 12:29:51,배추(쌈배추),1kg,3692,20
09/16 12:29:02,배추(쌈배추),1kg,1538,10
09/16 12:29:02,배추(쌈배추),1kg,1538,10
09/16 12:29:02,배추(쌈배추),1kg,1615,6
09/16 12:29:02,배추(쌈배추),1kg,1538,19
09/16 12:29:02,배추(쌈배추),1kg,1615,5
09/16 12:17:42,배추(기타배추),1kg,1500,5
09/16 12:07:01,배추(기타배추),1kg,1460,35
09/16 12:06:56,배추(기타배추),1kg,1450,35
09/16 12:06:43,배추(기타배추),1kg,1500,35
09/16 12:06:39,배추(기타배추),1kg,1520,35
09/16 12:06:36,배추(기타배추),1kg,1510,35
09/16 12:06:33,배추(기타배추),1kg,1500,36
09/16 12:06:30,배추(기타배추),1kg,1480,36
09/16 12:06:26,배추(기타배추),1kg,1450,36
09/16 12:06:23,배추(기타배추),1kg,1400,36
09/16 12:01:48,배추(쌈배추),1kg,1975,10
09/16 12:01:38,배추(쌈배추),1kg,2412,22
09/16 12:00:58,배추(쌈배추),1kg,2387,56
09/16 12:00:47,배추(쌈배추),1kg,2312,64
09/16 08:53:57,배추(고냉지배추),1kg,800,30
09/16 08:53:57,배추(고냉지배추),1kg,1088,36
09/16 08:53:57,배추(고냉지배추),1kg,1111,200
09/16 08:26:02,배추(기타배추),1kg,1300,28
09/16 08:15:43,배추(여름배추),1kg,20,1
09/16 08:15:36,배추(여름배추),1kg,1200,56
09/16 08:15:34,배추(여름배추),1kg,1300,65
09/16 08:15:31,배추(여름배추),1kg,1300,64
09/16 08:15:29,배추(여름배추),1kg,1300,66
09/16 08:15:27,배추(여름배추),1kg,1300,79
09/16 08:15:25,배추(여름배추),1kg,1850,100
09/16 08:15:23,배추(여름배추),1kg,1850,100
09/16 08:15:20,배추(여름배추),1kg,1850,100
09/16 08:15:18,배추(여름배추),1kg,1850,100
09/16 08:15:16,배추(여름배추),1kg,1850,110
09/16 08:15:14,배추(여름배추),1kg,1850,123
09/16 08:09:40,배추(월동배추),1kg,4590,4
09/16 08:02:10,배추(쌈배추),1kg,1625,40
09/16 08:02:10,배추(쌈배추),1kg,1625,10
09/16 08:02:10,배추(쌈배추),1kg,2500,7
09/16 08:02:10,배추(쌈배추),1kg,2500,10
09/16 07:59:25,배추(월동배추),1kg,1666,30
09/16 07:59:25,배추(월동배추),1kg,1666,28
09/16 07:59:25,배추(월동배추),1kg,1666,30
09/16 07:45:40,배추(쌈배추),1kg,1430,20
09/16 07:33:33,배추(기타배추),1kg,533,9
09/16 07:26:11,배추(쌈배추),1kg,3500,250
09/16 07:24:11,배추(쌈배추),1kg,4950,1
09/16 07:05:41,배추(기타배추),1kg,3495,2
09/16 07:05:24,배추(월동배추),1kg,1200,100
09/16 07:05:24,배추(월동배추),1kg,1200,100
09/16 07:05:24,배추(월동배추),1kg,1200,50
09/16 07:04:42,배추(여름배추),1kg,1050,48
09/16 06:43:13,배추(쌈배추),1kg,3750,6
09/16 06:42:16,배추(기타배추),1kg,1153,50
09/16 06:28:34,배추(월동배추),1kg,666,50
09/16 06:23:39,배추(쌈배추),1kg,1500,2
09/16 06:23:32,배추(쌈배추),1kg,1650,10
09/16 06:19:59,배추(쌈배추),1kg,625,74
09/16 06:19:59,배추(쌈배추),1kg,375,26
09/16 06:10:19,배추(쌈배추),1kg,900,6
09/16 06:09:41,배추(쌈배추),1kg,2000,5
09/16 06:09:41,배추(쌈배추),1kg,2000,5
09/16 06:09:41,배추(쌈배추),1kg,2000,5
09/16 06:09:41,배추(쌈배추),1kg,2000,5
09/16 06:09:35,배추(쌈배추),1kg,2000,5
09/16 06:09:35,배추(쌈배추),1kg,2000,5
09/16 06:09:35,배추(쌈배추),1kg,2000,5
09/16 06:09:34,배추(쌈배추),1kg,2000,5
09/16 06:08:43,배추(쌈배추),1kg,2500,5
09/16 06:08:29,배추(쌈배추),1kg,2500,5
09/16 06:08:17,배추(쌈배추),1kg,3775,5
09/16 06:08:13,배추(쌈배추),1kg,3687,5
09/16 06:03:24,배추(쌈배추),1kg,2550,30
09/16 06:03:12,배추(쌈배추),1kg,2650,21
09/16 06:03:02,배추(쌈배추),1kg,1800,10
09/16 06:02:46,배추(쌈배추),1kg,2500,13
09/16 06:00:52,배추(쌈배추),1kg,4200,14
09/16 05:54:36,배추(쌈배추),1kg,1875,1
09/16 05:54:31,배추(쌈배추),1kg,2500,1
09/16 05:54:26,배추(쌈배추),1kg,3625,4
09/16 05:52:31,배추(기타배추),1kg,892,1
09/16 05:50:47,배추(쌈배추),1kg,2100,6
09/16 05:49:02,배추(쌈배추),1kg,1875,20
09/16 05:43:08,배추(고냉지배추),1kg,800,41
09/16 05:41:59,배추(기타배추),1kg,2410,36
09/16 05:41:47,배추(기타배추),1kg,2350,30
09/16 05:41:41,배추(기타배추),1kg,2300,42
09/16 05:41:29,배추(기타배추),1kg,2200,42
09/16 05:40:28,배추(월동배추),1kg,700,146
09/16 05:40:25,배추(월동배추),1kg,700,146
09/16 05:40:19,배추(월동배추),1kg,1000,218
09/16 05:39:59,배추(월동배추),1kg,1000,218
09/16 05:39:52,배추(월동배추),1kg,1000,218
09/16 05:39:49,배추(월동배추),1kg,1000,218
09/16 05:39:31,배추(쌈배추),1kg,3666,6
09/16 05:39:23,배추(쌈배추),1kg,4450,4
09/16 05:29:45,배추(쌈배추),1kg,5100,45
09/16 05:29:38,배추(쌈배추),1kg,3300,55
09/16 05:29:18,배추(쌈배추),1kg,4100,43
09/16 05:26:59,배추(기타배추),1kg,491,1
09/16 05:26:34,배추(쌈배추),1kg,2350,21
09/16 05:26:26,배추(쌈배추),1kg,4100,27
09/16 05:26:19,배추(쌈배추),1kg,4400,37
09/16 05:25:59,배추(쌈배추),1kg,3750,32
09/16 05:25:29,배추(쌈배추),1kg,800,24
09/16 05:25:11,배추(기타배추),1kg,907,2
09/16 05:25:06,배추(기타배추),1kg,1069,11
09/16 05:25:04,배추(기타배추),1kg,1069,11
09/16 05:24:51,배추(기타배추),1kg,1069,11
09/16 05:24:43,배추(기타배추),1kg,1166,15
09/16 05:24:35,배추(기타배추),1kg,700,105
09/16 05:24:17,배추(기타배추),1kg,1083,15
09/16 05:24:17,배추(기타배추),1kg,1083,15
09/16 05:24:14,배추(기타배추),1kg,1083,15
