경매시간,품목(품종),규격(전체),경락가,거래량
01/16 12:00:00,부추(기타부추),1kg,320,80
01/16 12:00:00,부추(기타부추),1kg,400,220
01/16 12:00:00,부추(기타부추),1kg,400,220
01/16 12:00:00,부추(기타부추),1kg,640,280
01/16 12:00:00,부추(기타부추),1kg,520,220
01/16 12:00:00,부추(기타부추),1kg,480,280
01/16 12:00:00,부추(기타부추),1kg,700,100
01/16 12:00:00,부추(기타부추),1kg,840,200
01/16 12:00:00,부추(기타부추),1kg,640,120
01/16 12:00:00,부추(기타부추),1kg,400,20
01/16 12:00:00,부추(기타부추),1kg,460,240
01/16 12:00:00,부추(기타부추),1kg,600,320
01/16 12:00:00,부추(기타부추),1kg,640,220
01/16 12:00:00,부추(기타부추),1kg,910,200
01/16 12:00:00,부추(기타부추),1kg,700,340
01/16 12:00:00,부추(기타부추),1kg,1040,40
01/16 12:00:00,부추(기타부추),1kg,1000,60
01/16 12:00:00,부추(기타부추),1kg,700,320
01/16 12:00:00,부추(기타부추),1kg,1080,100
01/16 12:00:00,부추(기타부추),1kg,1000,100
01/16 12:00:00,부추(기타부추),1kg,900,20
01/16 12:00:00,부추(기타부추),1kg,400,280
01/16 12:00:00,부추(기타부추),1kg,400,260
01/16 12:00:00,부추(기타부추),1kg,840,100
01/16 12:00:00,부추(기타부추),1kg,1060,160
01/16 12:00:00,부추(기타부추),1kg,5250,2
01/16 12:00:00,부추(영양부추),1kg,4000,150
01/16 12:00:00,부추(영양부추),1kg,3850,100
01/16 12:00:00,부추(영양부추),1kg,3750,130
01/16 12:00:00,부추(영양부추),1kg,3950,250
01/16 12:00:00,부추(영양부추),1kg,3650,80
01/16 12:00:00,부추(영양부추),1kg,3950,150
01/16 12:00:00,부추(영양부추),1kg,3850,100
01/16 12:00:00,부추(영양부추),1kg,3875,80
01/16 12:00:00,부추(영양부추),1kg,3775,200
01/16 12:00:00,부추(영양부추),1kg,3825,60
01/16 12:00:00,부추(영양부추),1kg,3475,124
01/16 12:00:00,부추(영양부추),1kg,2900,100
01/16 12:00:00,부추(영양부추),1kg,3750,221
01/16 12:00:00,부추(영양부추),1kg,3550,100
01/16 12:00:00,부추(영양부추),1kg,3300,190
01/16 12:00:00,부추(영양부추),1kg,4050,100
01/16 12:00:00,부추(영양부추),1kg,3650,100
01/16 12:00:00,부추(영양부추),1kg,3000,80
01/16 12:00:00,부추(영양부추),1kg,3250,197
01/16 12:00:00,부추(영양부추),1kg,3900,350
01/16 12:00:00,부추(영양부추),1kg,3650,300
01/16 12:00:00,부추(영양부추),1kg,3750,150
01/16 12:00:00,부추(영양부추),1kg,3500,500
01/16 12:00:00,부추(영양부추),1kg,3500,150
01/16 12:00:00,부추(영양부추),1kg,3825,250
01/16 12:00:00,부추(영양부추),1kg,3600,250
01/16 12:00:00,부추(영양부추),1kg,3400,50
01/16 12:00:00,부추(영양부추),1kg,3550,100
01/16 12:00:00,부추(영양부추),1kg,3775,138
01/16 12:00:00,부추(영양부추),1kg,3500,50
01/16 12:00:00,부추(영양부추),1kg,4680,8
01/16 12:00:00,부추(영양부추),1kg,500,5
01/16 12:00:00,부추(영양부추),1kg,2766,20
01/16 12:00:00,부추(영양부추),1kg,400,10
01/16 12:00:00,부추(영양부추),1kg,1000,5
01/16 12:00:00,부추(일반부추),1kg,230,17
01/16 12:00:00,부추(일반부추),1kg,240,2
01/16 12:00:00,부추(일반부추),1kg,220,9
01/16 12:00:00,부추(일반부추),1kg,400,9
01/16 12:00:00,부추(일반부추),1kg,155,9
01/16 12:00:00,부추(일반부추),1kg,180,1
01/16 12:00:00,부추(일반부추),1kg,200,1
01/16 12:00:00,부추(일반부추),1kg,210,2
01/16 12:00:00,부추(일반부추),1kg,185,12
01/16 12:00:00,부추(일반부추),1kg,400,24
01/16 12:00:00,부추(일반부추),1kg,300,47
01/16 12:00:00,부추(일반부추),1kg,180,12
01/16 12:00:00,부추(일반부추),1kg,320,10
01/16 12:00:00,부추(일반부추),1kg,360,12
01/16 12:00:00,부추(일반부추),1kg,435,28
01/16 12:00:00,부추(일반부추),1kg,440,16
01/16 12:00:00,부추(일반부추),1kg,320,260
01/16 12:00:00,부추(일반부추),1kg,310,40
01/16 12:00:00,부추(일반부추),1kg,560,400
01/16 12:00:00,부추(일반부추),1kg,800,920
01/16 12:00:00,부추(일반부추),1kg,560,680
01/16 12:00:00,부추(일반부추),1kg,580,40
01/16 12:00:00,부추(일반부추),1kg,380,280
01/16 12:00:00,부추(일반부추),1kg,740,380
01/16 12:00:00,부추(일반부추),1kg,420,160
01/16 12:00:00,부추(일반부추),1kg,660,60
01/16 12:00:00,부추(일반부추),1kg,390,220
01/16 12:00:00,부추(일반부추),1kg,660,220
01/16 12:00:00,부추(일반부추),1kg,700,300
01/16 12:00:00,부추(일반부추),1kg,360,100
01/16 12:00:00,부추(일반부추),1kg,616,200
01/16 12:00:00,부추(일반부추),1kg,616,200
01/16 12:00:00,부추(일반부추),1kg,608,200
01/16 12:00:00,부추(일반부추),1kg,600,200
01/16 12:00:00,부추(일반부추),1kg,800,256
01/16 12:00:00,부추(일반부추),1kg,650,200
01/16 12:00:00,부추(일반부추),1kg,833,280
01/16 12:00:00,부추(일반부추),1kg,675,220
01/16 12:00:00,부추(일반부추),1kg,675,200
01/16 12:00:00,부추(일반부추),1kg,766,200
01/16 12:00:00,부추(일반부추),1kg,783,200
01/16 12:00:00,부추(일반부추),1kg,800,200
01/16 12:00:00,부추(일반부추),1kg,808,200
01/16 12:00:00,부추(일반부추),1kg,816,200
01/16 12:00:00,부추(일반부추),1kg,833,200
01/16 12:00:00,부추(일반부추),1kg,666,200
01/16 12:00:00,부추(일반부추),1kg,850,200
01/16 12:00:00,부추(일반부추),1kg,550,220
01/16 12:00:00,부추(일반부추),1kg,550,220
01/16 12:00:00,부추(일반부추),1kg,550,220
01/16 12:00:00,부추(일반부추),1kg,583,60
01/16 12:00:00,부추(일반부추),1kg,600,160
01/16 12:00:00,부추(일반부추),1kg,683,212
01/16 12:00:00,부추(일반부추),1kg,683,300
01/16 12:00:00,부추(일반부추),1kg,666,300
01/16 12:00:00,부추(일반부추),1kg,500,60
01/16 12:00:00,부추(일반부추),1kg,742,400
01/16 12:00:00,부추(일반부추),1kg,371,20
01/16 12:00:00,부추(일반부추),1kg,571,120
01/16 12:00:00,부추(일반부추),1kg,714,80
01/16 12:00:00,부추(일반부추),1kg,485,140
01/16 12:00:00,부추(일반부추),1kg,557,300
01/16 12:00:00,부추(일반부추),1kg,892,540
01/16 12:00:00,부추(일반부추),1kg,357,20
01/16 12:00:00,부추(일반부추),1kg,500,220
01/16 12:00:00,부추(일반부추),1kg,514,200
01/16 12:00:00,부추(일반부추),1kg,542,300
01/16 12:00:00,부추(일반부추),1kg,742,660
01/16 12:00:00,부추(일반부추),1kg,428,500
01/16 12:00:00,부추(일반부추),1kg,414,60
01/16 12:00:00,부추(일반부추),1kg,714,200
01/16 12:00:00,부추(일반부추),1kg,500,160
01/16 12:00:00,부추(일반부추),1kg,571,400
01/16 12:00:00,부추(일반부추),1kg,557,140
01/16 12:00:00,부추(일반부추),1kg,800,460
01/16 12:00:00,부추(일반부추),1kg,378,60
01/16 12:00:00,부추(일반부추),1kg,557,14
01/16 12:00:00,부추(일반부추),1kg,614,600
01/16 12:00:00,부추(일반부추),1kg,642,900
01/16 12:00:00,부추(일반부추),1kg,692,540
