경매시간,품목(품종),규격(전체),경락가,거래량
0,부추(일반부추),1kg,1000,36
06/16 12:56:39,부추(영양부추),1kg,1424,15
06/16 12:56:39,부추(일반부추),1kg,285,80
06/16 12:53:06,부추(일반부추),1kg,270,120
06/16 12:52:57,부추(일반부추),1kg,296,217
06/16 12:52:48,부추(일반부추),1kg,290,460
06/16 12:52:37,부추(일반부추),1kg,262,239
06/16 12:52:28,부추(일반부추),1kg,288,500
06/16 12:52:18,부추(일반부추),1kg,200,240
06/16 12:52:10,부추(일반부추),1kg,130,328
06/16 12:52:01,부추(일반부추),1kg,230,245
06/16 12:51:51,부추(일반부추),1kg,280,260
06/16 12:51:42,부추(일반부추),1kg,280,326
06/16 12:51:32,부추(일반부추),1kg,254,244
06/16 12:51:22,부추(일반부추),1kg,180,180
06/16 12:51:13,부추(일반부추),1kg,244,300
06/16 12:51:03,부추(일반부추),1kg,232,244
06/16 12:50:52,부추(일반부추),1kg,182,440
06/16 12:50:43,부추(일반부추),1kg,272,237
06/16 12:49:56,부추(일반부추),1kg,1713,96
06/16 12:49:50,부추(일반부추),1kg,1666,96
06/16 12:49:33,부추(일반부추),1kg,168,322
06/16 12:49:25,부추(일반부추),1kg,156,300
06/16 12:49:16,부추(일반부추),1kg,1500,96
06/16 12:49:05,부추(일반부추),1kg,228,196
06/16 12:48:51,부추(일반부추),1kg,216,465
06/16 12:48:39,부추(일반부추),1kg,1133,24
06/16 12:48:30,부추(일반부추),1kg,1200,15
06/16 12:48:21,부추(일반부추),1kg,1666,80
06/16 12:48:11,부추(일반부추),1kg,1366,94
06/16 12:48:00,부추(일반부추),1kg,1820,90
06/16 12:47:50,부추(일반부추),1kg,1333,60
06/16 12:47:40,부추(일반부추),1kg,2333,130
06/16 12:47:30,부추(일반부추),1kg,1893,121
06/16 12:47:20,부추(일반부추),1kg,1733,92
06/16 12:47:10,부추(일반부추),1kg,2353,100
06/16 12:47:03,부추(일반부추),1kg,318,60
06/16 12:47:00,부추(일반부추),1kg,2146,110
06/16 12:46:51,부추(일반부추),1kg,1960,100
06/16 12:46:41,부추(일반부추),1kg,1773,103
06/16 12:46:31,부추(일반부추),1kg,1466,38
06/16 12:46:22,부추(일반부추),1kg,1933,90
06/16 12:46:10,부추(일반부추),1kg,920,12
06/16 12:46:01,부추(일반부추),1kg,960,14
06/16 12:45:51,부추(일반부추),1kg,920,25
06/16 12:40:19,부추(영양부추),1kg,6330,4
06/16 12:38:51,부추(일반부추),1kg,3175,83
06/16 12:38:43,부추(일반부추),1kg,3075,83
06/16 12:38:31,부추(일반부추),1kg,1250,128
06/16 12:37:58,부추(일반부추),1kg,2275,100
06/16 12:37:26,부추(일반부추),1kg,1950,139
06/16 12:36:54,부추(일반부추),1kg,1500,24
06/16 12:35:46,부추(일반부추),1kg,2875,107
06/16 12:35:39,부추(일반부추),1kg,2875,100
06/16 12:34:53,부추(일반부추),1kg,1100,75
06/16 12:34:43,부추(일반부추),1kg,2756,1
06/16 12:33:23,부추(일반부추),1kg,1425,60
06/16 12:32:53,부추(일반부추),1kg,1350,131
06/16 12:32:14,부추(영양부추),1kg,1431,5
06/16 12:32:12,부추(영양부추),1kg,1431,10
06/16 12:32:05,부추(영양부추),1kg,1431,5
06/16 12:31:27,부추(일반부추),1kg,2800,37
06/16 12:30:03,부추(일반부추),1kg,1550,40
06/16 12:28:26,부추(일반부추),1kg,210,100
06/16 12:28:18,부추(일반부추),1kg,200,100
06/16 12:28:05,부추(일반부추),1kg,206,100
06/16 12:27:59,부추(일반부추),1kg,200,97
06/16 12:27:51,부추(일반부추),1kg,206,120
06/16 12:27:42,부추(일반부추),1kg,196,100
06/16 12:27:14,부추(일반부추),1kg,4075,10
06/16 12:26:45,부추(일반부추),1kg,1575,23
06/16 12:26:33,부추(일반부추),1kg,1425,130
06/16 12:24:22,부추(일반부추),1kg,1300,40
06/16 12:23:45,부추(일반부추),1kg,1100,1
06/16 12:22:55,부추(일반부추),1kg,2025,2
06/16 12:22:23,부추(일반부추),1kg,3550,5
06/16 12:20:43,부추(일반부추),1kg,2250,28
06/16 12:20:26,부추(일반부추),1kg,500,17
06/16 12:19:22,부추(일반부추),1kg,1450,24
06/16 12:19:10,부추(일반부추),1kg,1825,40
06/16 12:18:31,부추(일반부추),1kg,3275,41
06/16 12:18:25,부추(일반부추),1kg,3175,40
06/16 12:18:21,부추(일반부추),1kg,3050,40
06/16 12:18:15,부추(일반부추),1kg,2800,66
06/16 12:18:11,부추(일반부추),1kg,1375,35
06/16 12:18:01,부추(일반부추),1kg,1375,35
06/16 12:17:54,부추(일반부추),1kg,1375,35
06/16 12:17:39,부추(일반부추),1kg,1400,20
06/16 12:17:27,부추(일반부추),1kg,1500,40
06/16 12:16:51,부추(일반부추),1kg,1250,30
06/16 12:16:01,부추(일반부추),1kg,2650,40
06/16 12:15:47,부추(일반부추),1kg,1375,68
06/16 12:15:29,부추(일반부추),1kg,2850,20
06/16 12:13:09,부추(일반부추),1kg,2600,35
06/16 12:13:04,부추(일반부추),1kg,2425,35
06/16 12:11:11,부추(일반부추),1kg,2050,10
06/16 12:11:05,부추(일반부추),1kg,1900,10
06/16 12:10:02,부추(일반부추),1kg,1650,41
06/16 12:08:34,부추(일반부추),1kg,2200,71
06/16 12:07:55,부추(일반부추),1kg,2200,71
06/16 12:07:54,부추(일반부추),1kg,1450,26
06/16 12:07:51,부추(일반부추),1kg,2200,71
06/16 12:07:45,부추(일반부추),1kg,1460,27
06/16 12:07:36,부추(일반부추),1kg,1500,27
06/16 12:07:27,부추(일반부추),1kg,1510,27
06/16 12:07:22,부추(일반부추),1kg,1480,27
06/16 12:07:14,부추(일반부추),1kg,1600,27
06/16 12:07:04,부추(일반부추),1kg,1580,27
06/16 12:06:50,부추(일반부추),1kg,2825,8
06/16 12:06:24,부추(일반부추),1kg,2375,80
06/16 12:06:06,부추(일반부추),1kg,2125,120
06/16 12:04:07,부추(일반부추),1kg,1775,20
06/16 12:04:07,부추(일반부추),1kg,1775,20
06/16 12:03:25,부추(일반부추),1kg,2900,76
06/16 12:03:02,부추(일반부추),1kg,2000,35
06/16 12:03:02,부추(일반부추),1kg,2000,35
06/16 12:00:25,부추(일반부추),1kg,3575,9
06/16 12:00:25,부추(일반부추),1kg,3575,9
06/16 12:00:00,부추(일반부추),1kg,2000,6
06/16 11:59:05,부추(일반부추),1kg,1800,52
06/16 11:59:05,부추(일반부추),1kg,1800,52
06/16 11:58:59,부추(일반부추),1kg,1750,52
06/16 11:58:59,부추(일반부추),1kg,1750,52
06/16 11:56:41,부추(일반부추),1kg,2400,43
06/16 11:54:40,부추(일반부추),1kg,2025,50
06/16 11:49:25,부추(일반부추),1kg,2250,73
06/16 11:49:15,부추(일반부추),1kg,2400,100
06/16 11:43:21,부추(일반부추),1kg,2000,30
06/16 11:42:58,부추(일반부추),1kg,1875,50
06/16 11:42:22,부추(일반부추),1kg,2000,21
06/16 11:39:39,부추(일반부추),1kg,3250,57
06/16 11:38:45,부추(일반부추),1kg,2075,40
06/16 11:38:38,부추(일반부추),1kg,1725,28
06/16 11:31:57,부추(일반부추),1kg,2150,30
06/16 11:31:53,부추(일반부추),1kg,2025,32
06/16 11:31:16,부추(일반부추),1kg,1875,49
06/16 11:30:57,부추(일반부추),1kg,2025,50
06/16 11:29:15,부추(일반부추),1kg,1650,45
