경매시간,품목(품종),규격(전체),경락가,거래량
08/16 12:49:48,부추(일반부추),1kg,170,20
08/16 12:49:42,부추(일반부추),1kg,792,440
08/16 12:49:36,부추(일반부추),1kg,610,325
08/16 12:49:27,부추(일반부추),1kg,532,140
08/16 12:49:20,부추(일반부추),1kg,578,179
08/16 12:49:12,부추(일반부추),1kg,440,120
08/16 12:48:58,부추(일반부추),1kg,672,120
08/16 12:48:52,부추(일반부추),1kg,672,221
08/16 12:48:45,부추(일반부추),1kg,660,100
08/16 12:48:38,부추(일반부추),1kg,718,253
08/16 12:48:30,부추(일반부추),1kg,600,272
08/16 12:48:23,부추(일반부추),1kg,570,114
08/16 12:48:17,부추(일반부추),1kg,270,144
08/16 12:48:08,부추(일반부추),1kg,560,152
08/16 12:48:01,부추(일반부추),1kg,730,120
08/16 12:47:54,부추(일반부추),1kg,670,140
08/16 12:46:23,부추(일반부추),1kg,180,250
08/16 12:46:06,부추(일반부추),1kg,244,240
08/16 12:45:52,부추(일반부추),1kg,6000,82
08/16 12:45:42,부추(일반부추),1kg,4000,70
08/16 12:45:31,부추(일반부추),1kg,4533,106
08/16 12:45:23,부추(일반부추),1kg,1033,45
08/16 12:45:14,부추(일반부추),1kg,4400,70
08/16 12:45:06,부추(일반부추),1kg,2600,39
08/16 12:44:59,부추(일반부추),1kg,1400,92
08/16 12:44:45,부추(일반부추),1kg,760,241
08/16 12:44:20,부추(일반부추),1kg,6266,60
08/16 12:44:11,부추(일반부추),1kg,1933,52
08/16 12:44:03,부추(일반부추),1kg,1000,45
08/16 12:43:54,부추(일반부추),1kg,1700,61
08/16 12:43:41,부추(일반부추),1kg,1033,11
08/16 12:43:23,부추(일반부추),1kg,330,420
08/16 12:43:14,부추(일반부추),1kg,1046,14
08/16 12:43:06,부추(일반부추),1kg,1033,12
08/16 12:36:20,부추(일반부추),1kg,5500,1
08/16 12:35:23,부추(일반부추),1kg,4875,33
08/16 12:33:36,부추(일반부추),1kg,4800,43
08/16 12:32:43,부추(일반부추),1kg,4575,15
08/16 12:32:36,부추(일반부추),1kg,1250,34
08/16 12:30:50,부추(일반부추),1kg,1625,34
08/16 12:29:13,부추(일반부추),1kg,3375,73
08/16 12:28:41,부추(일반부추),1kg,4500,35
08/16 12:25:15,부추(일반부추),1kg,5400,40
08/16 12:21:04,부추(일반부추),1kg,3750,30
08/16 12:20:51,부추(일반부추),1kg,3000,70
08/16 12:20:35,부추(일반부추),1kg,2750,55
08/16 12:20:25,부추(일반부추),1kg,5350,40
08/16 12:20:06,부추(일반부추),1kg,6240,13
08/16 12:19:54,부추(일반부추),1kg,4250,7
08/16 12:19:34,부추(일반부추),1kg,8240,1
08/16 12:19:28,부추(일반부추),1kg,8240,1
08/16 12:19:27,부추(일반부추),1kg,460,80
08/16 12:19:17,부추(일반부추),1kg,2925,132
08/16 12:19:17,부추(일반부추),1kg,446,80
08/16 12:19:13,부추(일반부추),1kg,2275,8
08/16 12:19:03,부추(일반부추),1kg,3500,35
08/16 12:18:57,부추(일반부추),1kg,476,75
