경매시간,품목(품종),규격(전체),경락가,거래량
0,사과(기타사과),1kg,3100,5
0,사과(기타사과),1kg,2700,15
0,사과(기타사과),1kg,3000,10
0,사과(기타사과),1kg,4800,4
0,사과(기타사과),1kg,5100,5
0,사과(기타사과),1kg,4400,3
0,사과(기타사과),1kg,5900,13
0,사과(기타사과),1kg,6400,20
0,사과(기타사과),1kg,6800,20
0,사과(기타사과),1kg,7200,5
0,사과(기타사과),1kg,1400,2
0,사과(기타사과),1kg,1900,1
0,사과(기타사과),1kg,2500,5
0,사과(기타사과),1kg,3000,4
0,사과(기타사과),1kg,3500,2
0,사과(기타사과),1kg,2000,1
0,사과(기타사과),1kg,3000,3
0,사과(기타사과),1kg,3400,4
0,사과(기타사과),1kg,3800,3
0,사과(기타사과),1kg,3800,3
0,사과(기타사과),1kg,4000,3
0,사과(기타사과),1kg,4000,1
0,사과(기타사과),1kg,3700,4
0,사과(기타사과),1kg,4400,5
0,사과(기타사과),1kg,5000,10
0,사과(기타사과),1kg,5500,10
0,사과(기타사과),1kg,6100,10
0,사과(기타사과),1kg,2500,13
0,사과(기타사과),1kg,2800,18
0,사과(기타사과),1kg,3800,12
0,사과(기타사과),1kg,3700,7
0,사과(기타사과),1kg,6000,5
0,사과(기타사과),1kg,6400,10
0,사과(기타사과),1kg,6600,10
0,사과(기타사과),1kg,7000,9
0,사과(기타사과),1kg,2100,3
0,사과(기타사과),1kg,4300,3
0,사과(기타사과),1kg,5100,2
0,사과(기타사과),1kg,5600,2
0,사과(기타사과),1kg,6400,7
0,사과(기타사과),1kg,7100,1
0,사과(기타사과),1kg,7100,6
0,사과(기타사과),1kg,7800,6
0,사과(기타사과),1kg,2100,2
0,사과(기타사과),1kg,2800,10
0,사과(기타사과),1kg,2300,10
0,사과(기타사과),1kg,3800,10
0,사과(기타사과),1kg,3800,10
0,사과(기타사과),1kg,5500,7
0,사과(기타사과),1kg,6600,10
0,사과(기타사과),1kg,7300,10
0,사과(기타사과),1kg,8000,6
0,사과(기타사과),1kg,9100,4
0,사과(기타사과),1kg,1800,5
0,사과(기타사과),1kg,2600,10
0,사과(기타사과),1kg,6500,10
0,사과(홍옥),1kg,4000,84
0,사과(홍옥),1kg,5050,1
0,사과(홍옥),1kg,8400,1
0,사과(홍옥),1kg,5150,1
0,사과(홍옥),1kg,2542,1
0,사과(홍옥),1kg,2350,1
0,사과(홍옥),1kg,4255,1
0,사과(홍옥),1kg,6800,1
0,사과(홍옥),1kg,3850,1
0,사과(홍옥),1kg,4247,1
0,사과(홍옥),1kg,4000,21
0,사과(홍옥),1kg,4000,21
0,사과(홍옥),1kg,4000,44
0,사과(홍옥),1kg,4000,29
0,사과(홍옥),1kg,4000,3
0,사과(홍옥),1kg,4000,28
0,사과(홍옥),1kg,4000,16
0,사과(홍옥),1kg,2461,1
0,사과(홍옥),1kg,4000,58
0,사과(홍옥),1kg,4000,147
0,사과(홍옥),1kg,4000,16
0,사과(홍옥),1kg,4000,95
0,사과(홍옥),1kg,4000,51
0,사과(홍옥),1kg,5900,1
11/16 12:59:58,사과(기타사과),1kg,6400,41
11/16 12:59:54,사과(기타사과),1kg,6850,14
11/16 12:59:27,사과(미얀마),1kg,1650,7
11/16 12:59:24,사과(미얀마),1kg,3100,2
11/16 12:59:20,사과(미얀마),1kg,3400,12
11/16 12:59:17,사과(미얀마),1kg,3465,28
11/16 12:59:14,사과(미얀마),1kg,5075,1
11/16 12:59:10,사과(미얀마),1kg,5720,4
11/16 12:59:06,사과(미얀마),1kg,5860,12
11/16 12:58:59,사과(미얀마),1kg,5950,16
11/16 12:58:55,사과(미얀마),1kg,6080,7
11/16 12:58:39,사과(미얀마),1kg,1695,8
11/16 12:58:36,사과(미얀마),1kg,2560,2
11/16 12:58:32,사과(미얀마),1kg,3060,6
11/16 12:58:28,사과(미얀마),1kg,3645,27
11/16 12:58:25,사과(미얀마),1kg,3595,19
11/16 12:58:21,사과(미얀마),1kg,4805,2
11/16 12:58:18,사과(미얀마),1kg,5195,6
11/16 12:58:14,사과(미얀마),1kg,5780,13
11/16 12:58:10,사과(미얀마),1kg,5855,18
11/16 12:58:04,사과(미얀마),1kg,5750,11
11/16 12:58:00,사과(미얀마),1kg,5500,1
11/16 12:57:22,사과(미얀마),1kg,2150,11
11/16 12:57:18,사과(미얀마),1kg,3050,4
11/16 12:57:15,사과(미얀마),1kg,3695,32
11/16 12:57:12,사과(미얀마),1kg,3500,27
11/16 12:57:08,사과(미얀마),1kg,5165,1
11/16 12:57:04,사과(미얀마),1kg,5610,6
11/16 12:57:01,사과(미얀마),1kg,5750,12
11/16 12:56:57,사과(미얀마),1kg,5610,13
11/16 12:56:52,사과(미얀마),1kg,4990,4
11/16 12:56:29,사과(미얀마),1kg,1460,5
11/16 12:56:25,사과(미얀마),1kg,2205,2
11/16 12:56:21,사과(미얀마),1kg,2845,7
