경매시간,품목(품종),규격(전체),경락가,거래량
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3250,20
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4250,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,20
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3250,20
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1833,8
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,20
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,25
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,40
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,833,7
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4000,40
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3000,10
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3000,10
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,20
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,20
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1500,180
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1833,5
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3250,75
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4500,50
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1000,71
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1800,107
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1800,36
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3400,36
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3400,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,51
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3700,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3700,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3650,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,322,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2500,58
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,320
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,322,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,325,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,325,450
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2050,88
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1450,44
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1900,32
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,342,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,342,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,350,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,350,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,352,340
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,150,45
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,500,47
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4000,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4100,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4100,45
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3750,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,75
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,36
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1500,49
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,600,26
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3650,90
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3350,84
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1750,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1900,68
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,150,40
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,345,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,340,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4650,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4600,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4000,45
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3800,30
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3800,45
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3600,51
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2150,4
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2000,7
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2150,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,900,31
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1500,46
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4000,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4100,78
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2250,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2350,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2350,66
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,2500,40
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,1400,104
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,340,360
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4550,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4900,60
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,3500,45
01/16 12:00:00,새송이(새송이버섯(일반)),1kg,4250,60
