경매시간,품목(품종),규격(전체),경락가,거래량
0,새송이(새송이버섯(일반)),1kg,1473,1
12/16 12:52:59,새송이(새송이버섯(일반)),1kg,2385,10
12/16 12:38:44,새송이(새송이버섯(일반)),1kg,2385,15
12/16 12:31:54,새송이(새송이버섯(일반)),1kg,2850,40
12/16 12:31:51,새송이(새송이버섯(일반)),1kg,2850,50
12/16 12:30:29,새송이(새송이버섯(일반)),1kg,2250,60
12/16 12:30:01,새송이(새송이버섯(일반)),1kg,2000,60
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,10
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,5
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2250,50
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,20
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,5
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,10
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2250,30
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,15
12/16 12:29:42,새송이(새송이버섯(일반)),1kg,2375,15
12/16 12:25:21,새송이(새송이버섯(일반)),1kg,750,12
12/16 12:25:12,새송이(새송이버섯(일반)),1kg,2200,60
12/16 12:24:39,새송이(새송이버섯(일반)),1kg,800,50
12/16 12:24:19,새송이(새송이버섯(일반)),1kg,2100,60
12/16 12:24:12,새송이(새송이버섯(일반)),1kg,2300,60
12/16 12:24:06,새송이(새송이버섯(일반)),1kg,2550,60
12/16 12:23:56,새송이(새송이버섯(일반)),1kg,650,48
12/16 12:23:40,새송이(새송이버섯(일반)),1kg,3100,9
12/16 12:23:35,새송이(새송이버섯(일반)),1kg,3100,9
12/16 12:23:03,새송이(새송이버섯(일반)),1kg,2700,60
12/16 12:23:01,새송이(새송이버섯(일반)),1kg,2700,60
12/16 12:22:56,새송이(새송이버섯(일반)),1kg,2850,60
12/16 12:22:53,새송이(새송이버섯(일반)),1kg,2850,60
12/16 12:22:39,새송이(새송이버섯(일반)),1kg,2350,10
12/16 12:22:35,새송이(새송이버섯(일반)),1kg,2325,15
12/16 12:22:32,새송이(새송이버섯(일반)),1kg,2300,15
12/16 12:22:30,새송이(새송이버섯(일반)),1kg,2250,15
12/16 12:22:28,새송이(새송이버섯(일반)),1kg,2225,15
12/16 12:22:25,새송이(새송이버섯(일반)),1kg,2225,15
12/16 12:22:23,새송이(새송이버섯(일반)),1kg,2200,15
12/16 12:22:15,새송이(새송이버섯(일반)),1kg,600,40
12/16 12:22:13,새송이(새송이버섯(일반)),1kg,600,80
12/16 12:22:11,새송이(새송이버섯(일반)),1kg,600,80
12/16 12:18:35,새송이(새송이버섯(일반)),1kg,1000,15
12/16 12:18:22,새송이(새송이버섯(일반)),1kg,200,100
12/16 12:18:20,새송이(새송이버섯(일반)),1kg,1750,6
12/16 12:18:15,새송이(새송이버섯(일반)),1kg,200,80
12/16 12:18:12,새송이(새송이버섯(일반)),1kg,1900,6
12/16 12:18:08,새송이(새송이버섯(일반)),1kg,2300,48
12/16 12:18:04,새송이(새송이버섯(일반)),1kg,2850,60
12/16 12:17:53,새송이(새송이버섯(일반)),1kg,3000,60
12/16 12:17:49,새송이(새송이버섯(일반)),1kg,2500,6
12/16 12:17:45,새송이(새송이버섯(일반)),1kg,2900,60
12/16 12:17:36,새송이(새송이버섯(일반)),1kg,2150,59
12/16 12:17:27,새송이(새송이버섯(일반)),1kg,2350,60
12/16 12:17:23,새송이(새송이버섯(일반)),1kg,3250,81
12/16 12:17:00,새송이(새송이버섯(일반)),1kg,2850,50
12/16 12:16:56,새송이(새송이버섯(일반)),1kg,2850,50
12/16 12:16:51,새송이(새송이버섯(일반)),1kg,1600,24
12/16 12:16:44,새송이(새송이버섯(일반)),1kg,2250,3
12/16 12:16:40,새송이(새송이버섯(일반)),1kg,2550,28
12/16 12:16:29,새송이(새송이버섯(일반)),1kg,2900,64
12/16 12:16:27,새송이(새송이버섯(일반)),1kg,2900,65
12/16 12:16:24,새송이(새송이버섯(일반)),1kg,2900,65
12/16 12:16:22,새송이(새송이버섯(일반)),1kg,2900,65
12/16 12:16:17,새송이(새송이버섯(일반)),1kg,1800,12
12/16 12:16:09,새송이(새송이버섯(일반)),1kg,2750,60
12/16 12:16:02,새송이(새송이버섯(일반)),1kg,3050,65
12/16 12:16:00,새송이(새송이버섯(일반)),1kg,3050,65
12/16 12:15:58,새송이(새송이버섯(일반)),1kg,3000,65
12/16 12:15:49,새송이(새송이버섯(일반)),1kg,3050,65
12/16 12:15:25,새송이(새송이버섯(일반)),1kg,1100,76
12/16 12:15:20,새송이(새송이버섯(일반)),1kg,1650,60
12/16 12:15:15,새송이(새송이버섯(일반)),1kg,1650,60
12/16 12:15:08,새송이(새송이버섯(일반)),1kg,2100,48
12/16 12:06:03,새송이(기타),1kg,2250,30
12/16 12:03:18,새송이(새송이버섯(일반)),1kg,2373,10
12/16 12:01:19,새송이(새송이버섯(일반)),1kg,2505,20
12/16 12:01:19,새송이(새송이버섯(일반)),1kg,4220,5
12/16 12:01:18,새송이(새송이버섯(일반)),1kg,1700,48
12/16 12:01:10,새송이(새송이버섯(일반)),1kg,1700,48
12/16 12:01:04,새송이(새송이버섯(일반)),1kg,1700,48
12/16 12:00:53,새송이(새송이버섯(일반)),1kg,2000,48
12/16 12:00:44,새송이(새송이버섯(일반)),1kg,2450,96
12/16 12:00:42,새송이(새송이버섯(일반)),1kg,2110,4
12/16 12:00:38,새송이(새송이버섯(일반)),1kg,2450,96
12/16 12:00:30,새송이(새송이버섯(일반)),1kg,3400,50
12/16 12:00:22,새송이(새송이버섯(일반)),1kg,3400,50
12/16 12:00:16,새송이(새송이버섯(일반)),1kg,3400,50
12/16 12:00:07,새송이(새송이버섯(일반)),1kg,217,360
12/16 12:00:00,새송이(새송이버섯(일반)),1kg,217,360
12/16 11:46:53,새송이(새송이버섯(일반)),1kg,3000,10
12/16 11:46:42,새송이(새송이버섯(일반)),1kg,3200,10
12/16 11:46:39,새송이(새송이버섯(일반)),1kg,3200,10
12/16 11:46:36,새송이(새송이버섯(일반)),1kg,3166,10
12/16 11:46:25,새송이(새송이버섯(일반)),1kg,800,48
12/16 11:46:19,새송이(새송이버섯(일반)),1kg,2250,30
12/16 11:45:26,새송이(새송이버섯(일반)),1kg,600,7
12/16 11:45:16,새송이(새송이버섯(일반)),1kg,2500,50
12/16 11:45:13,새송이(새송이버섯(일반)),1kg,2400,55
12/16 11:43:31,새송이(새송이버섯(일반)),1kg,750,56
12/16 11:43:27,새송이(새송이버섯(일반)),1kg,1250,16
12/16 11:43:23,새송이(새송이버섯(일반)),1kg,2750,10
12/16 11:43:20,새송이(새송이버섯(일반)),1kg,2900,42
12/16 11:43:10,새송이(새송이버섯(일반)),1kg,3000,43
12/16 11:43:07,새송이(새송이버섯(일반)),1kg,3000,43
12/16 11:43:04,새송이(새송이버섯(일반)),1kg,3000,43
12/16 11:43:02,새송이(새송이버섯(일반)),1kg,3000,42
12/16 11:22:01,새송이(새송이버섯(일반)),1kg,1300,72
12/16 11:21:52,새송이(새송이버섯(일반)),1kg,2600,60
12/16 11:21:36,새송이(새송이버섯(일반)),1kg,2900,40
12/16 11:08:48,새송이(새송이버섯(일반)),1kg,1050,20
12/16 11:08:43,새송이(새송이버섯(일반)),1kg,1100,56
12/16 11:08:40,새송이(새송이버섯(일반)),1kg,1050,56
12/16 11:08:33,새송이(새송이버섯(일반)),1kg,1550,5
12/16 11:08:28,새송이(새송이버섯(일반)),1kg,1800,9
12/16 11:08:21,새송이(새송이버섯(일반)),1kg,1900,52
12/16 11:08:18,새송이(새송이버섯(일반)),1kg,1900,53
12/16 11:08:09,새송이(새송이버섯(일반)),1kg,2600,20
12/16 11:08:04,새송이(새송이버섯(일반)),1kg,2550,49
12/16 11:08:00,새송이(새송이버섯(일반)),1kg,2600,50
12/16 11:07:57,새송이(새송이버섯(일반)),1kg,2600,50
12/16 11:03:19,새송이(새송이버섯(일반)),1kg,750,20
12/16 11:03:09,새송이(새송이버섯(일반)),1kg,2500,60
12/16 08:12:39,새송이(새송이버섯(일반)),1kg,237,100
12/16 08:12:39,새송이(새송이버섯(일반)),1kg,237,60
12/16 08:12:39,새송이(새송이버섯(일반)),1kg,237,50
12/16 08:12:39,새송이(새송이버섯(일반)),1kg,237,100
12/16 08:12:39,새송이(새송이버섯(일반)),1kg,237,50
12/16 08:12:39,새송이(새송이버섯(일반)),1kg,237,40
12/16 08:12:27,새송이(새송이버섯(일반)),1kg,900,45
12/16 08:12:27,새송이(새송이버섯(일반)),1kg,1250,25
12/16 08:12:27,새송이(새송이버섯(일반)),1kg,1200,25
12/16 08:12:27,새송이(새송이버섯(일반)),1kg,900,25
12/16 08:12:27,새송이(새송이버섯(일반)),1kg,1600,28
