경매시간,품목(품종),규격(전체),경락가,거래량
0,시금치(섬초),1kg,1964,1
0,시금치(시금치(일반)),1kg,3000,10
0,시금치(시금치(일반)),1kg,2125,20
0,시금치(시금치(일반)),1kg,2125,20
0,시금치(시금치(일반)),1kg,366,52
0,시금치(시금치(일반)),1kg,1150,15
12/16 12:58:59,시금치(시금치(일반)),1kg,3200,2
12/16 12:58:47,시금치(시금치(일반)),1kg,3230,72
12/16 12:58:25,시금치(시금치(일반)),1kg,2500,25
12/16 12:58:03,시금치(시금치(일반)),1kg,3687,10
12/16 12:57:53,시금치(시금치(일반)),1kg,566,250
12/16 12:57:45,시금치(시금치(일반)),1kg,583,125
12/16 12:57:30,시금치(시금치(일반)),1kg,583,150
12/16 12:57:12,시금치(시금치(일반)),1kg,3520,60
12/16 12:56:51,시금치(시금치(일반)),1kg,566,250
12/16 12:56:33,시금치(시금치(일반)),1kg,2900,1
12/16 12:56:23,시금치(시금치(일반)),1kg,3380,1
12/16 12:56:08,시금치(시금치(일반)),1kg,553,250
12/16 12:56:01,시금치(시금치(일반)),1kg,553,250
12/16 12:55:20,시금치(시금치(일반)),1kg,2200,25
12/16 12:55:07,시금치(시금치(일반)),1kg,2200,25
12/16 12:52:13,시금치(시금치(일반)),1kg,188,100
12/16 12:51:38,시금치(시금치(일반)),1kg,1950,11
12/16 12:51:23,시금치(시금치(일반)),1kg,3250,23
12/16 12:50:02,시금치(시금치(일반)),1kg,1500,1
12/16 12:50:00,시금치(시금치(일반)),1kg,3000,35
12/16 12:49:54,시금치(시금치(일반)),1kg,3000,35
12/16 12:49:41,시금치(시금치(일반)),1kg,3000,35
12/16 12:35:25,시금치(시금치(일반)),1kg,2200,7
12/16 12:29:23,시금치(시금치(일반)),1kg,3842,2
12/16 12:29:07,시금치(시금치(일반)),1kg,3200,4
12/16 12:28:08,시금치(시금치(일반)),1kg,2780,6
12/16 12:27:56,시금치(시금치(일반)),1kg,583,600
12/16 12:27:35,시금치(섬초),1kg,4725,1
12/16 12:27:35,시금치(섬초),1kg,4200,3
12/16 12:27:35,시금치(시금치(일반)),1kg,315,20
12/16 12:27:35,시금치(포항초),1kg,577,30
12/16 12:27:27,시금치(시금치(일반)),1kg,2375,50
12/16 12:26:22,시금치(시금치(일반)),1kg,2200,27
12/16 12:26:10,시금치(시금치(일반)),1kg,1600,16
12/16 12:24:18,시금치(시금치(일반)),1kg,3180,3
12/16 12:16:33,시금치(시금치(일반)),1kg,530,20
12/16 12:16:20,시금치(섬초),1kg,10300,1
12/16 12:15:38,시금치(섬초),1kg,10300,1
12/16 12:15:33,시금치(섬초),1kg,10300,1
12/16 12:14:20,시금치(시금치(일반)),1kg,296,20
12/16 12:14:00,시금치(시금치(일반)),1kg,583,375
12/16 12:13:44,시금치(시금치(일반)),1kg,1950,10
12/16 12:13:31,시금치(시금치(일반)),1kg,500,250
12/16 12:13:20,시금치(시금치(일반)),1kg,3812,7
12/16 12:13:08,시금치(시금치(일반)),1kg,2820,100
12/16 12:12:56,시금치(시금치(일반)),1kg,420,325
12/16 12:11:17,시금치(시금치(일반)),1kg,2050,30
12/16 12:11:08,시금치(시금치(일반)),1kg,2050,30
12/16 12:10:02,시금치(시금치(일반)),1kg,2600,20
12/16 12:03:00,시금치(시금치(일반)),1kg,2500,6
12/16 12:02:49,시금치(시금치(일반)),1kg,2750,3
12/16 12:02:44,시금치(시금치(일반)),1kg,3000,15
12/16 12:02:41,시금치(시금치(일반)),1kg,527,50
12/16 12:02:12,시금치(시금치(일반)),1kg,2500,25
12/16 12:02:08,시금치(시금치(일반)),1kg,2425,25
12/16 11:58:25,시금치(시금치(일반)),1kg,2550,17
12/16 11:52:23,시금치(시금치(일반)),1kg,2375,20
12/16 11:45:01,시금치(시금치(일반)),1kg,3125,20
12/16 11:43:11,시금치(시금치(일반)),1kg,3750,30
12/16 11:42:54,시금치(시금치(일반)),1kg,4000,17
