경매시간,품목(품종),규격(전체),경락가,거래량
0,알타리무(알타리무(일반)),1kg,1995,4
11/16 12:05:23,알타리무(알타리무(일반)),1kg,1500,15
11/16 12:05:23,알타리무(알타리무(일반)),1kg,1500,20
11/16 12:05:23,알타리무(알타리무(일반)),1kg,1500,10
11/16 12:05:23,알타리무(알타리무(일반)),1kg,1500,5
11/16 10:32:55,알타리무(알타리무(일반)),1kg,1995,4
11/16 10:32:48,알타리무(알타리무(일반)),1kg,1995,4
11/16 10:00:16,알타리무(알타리무(일반)),1kg,1146,25
11/16 09:56:59,알타리무(알타리무(일반)),1kg,1470,23
11/16 09:49:56,알타리무(알타리무(일반)),1kg,1785,2
11/16 08:45:51,알타리무(초롱무),1kg,300,7
11/16 08:45:45,알타리무(초롱무),1kg,375,16
11/16 08:41:43,알타리무(알타리무(일반)),1kg,406,30
11/16 08:35:33,알타리무(알타리무(일반)),1kg,333,25
11/16 08:29:21,알타리무(알타리무(일반)),1kg,2000,20
11/16 08:28:13,알타리무(초롱무),1kg,400,25
11/16 08:15:10,알타리무(알타리무(일반)),1kg,533,22
11/16 08:12:01,알타리무(초롱무),1kg,500,25
11/16 08:11:52,알타리무(초롱무),1kg,550,11
11/16 07:51:48,알타리무(초롱무),1kg,1750,250
11/16 07:50:26,알타리무(초롱무),1kg,1750,250
11/16 07:50:07,알타리무(초롱무),1kg,1000,50
11/16 07:50:07,알타리무(초롱무),1kg,1750,250
11/16 07:48:03,알타리무(알타리무(일반)),1kg,600,386
11/16 07:48:03,알타리무(알타리무(일반)),1kg,650,350
11/16 07:47:56,알타리무(알타리무(일반)),1kg,1400,250
11/16 07:47:56,알타리무(알타리무(일반)),1kg,1400,250
11/16 07:47:56,알타리무(알타리무(일반)),1kg,1300,250
11/16 07:45:04,알타리무(초롱무),1kg,1750,200
11/16 07:45:04,알타리무(초롱무),1kg,1000,100
11/16 07:43:55,알타리무(초롱무),1kg,1500,100
11/16 07:43:55,알타리무(초롱무),1kg,1000,70
11/16 07:43:37,알타리무(초롱무),1kg,1500,200
11/16 07:42:49,알타리무(초롱무),1kg,1500,100
11/16 07:21:38,알타리무(알타리무(일반)),1kg,750,100
11/16 07:14:38,알타리무(알타리무(일반)),1kg,1076,500
11/16 07:14:38,알타리무(알타리무(일반)),1kg,1103,500
11/16 07:14:38,알타리무(알타리무(일반)),1kg,903,500
11/16 07:14:38,알타리무(알타리무(일반)),1kg,1010,500
11/16 07:14:38,알타리무(초롱무),1kg,483,48
11/16 07:13:58,알타리무(초롱무),1kg,1750,100
11/16 07:11:28,알타리무(초롱무),1kg,1750,80
11/16 07:11:08,알타리무(초롱무),1kg,1000,100
11/16 07:11:08,알타리무(초롱무),1kg,1750,160
11/16 06:24:52,알타리무(알타리무(일반)),1kg,600,260
11/16 06:22:34,알타리무(알타리무(일반)),1kg,903,370
11/16 06:22:34,알타리무(알타리무(일반)),1kg,930,440
11/16 06:12:41,알타리무(알타리무(일반)),1kg,625,5
11/16 05:35:19,알타리무(알타리무(일반)),1kg,500,173
11/16 05:33:10,알타리무(알타리무(일반)),1kg,600,300
11/16 05:33:07,알타리무(알타리무(일반)),1kg,600,300
11/16 05:33:05,알타리무(알타리무(일반)),1kg,600,300
11/16 05:33:03,알타리무(알타리무(일반)),1kg,600,300
11/16 05:33:00,알타리무(알타리무(일반)),1kg,600,400
11/16 05:24:38,알타리무(알타리무(일반)),1kg,750,600
11/16 05:18:05,알타리무(초롱무),1kg,466,52
