경매시간,품목(품종),규격(전체),경락가,거래량
0,양파(양파(수입)),1kg,900,100
0,양파(양파(수입)),1kg,900,100
0,양파(양파(수입)),1kg,900,50
0,양파(양파(수입)),1kg,900,50
0,양파(양파(일반)),1kg,933,53
09/16 12:22:24,양파(양파(일반)),1kg,1025,45
09/16 12:22:19,양파(양파(일반)),1kg,1025,47
09/16 12:22:14,양파(양파(일반)),1kg,1025,50
09/16 12:22:09,양파(양파(일반)),1kg,1025,50
09/16 11:56:43,양파(양파(일반)),1kg,300,2
09/16 11:56:35,양파(깐양파),1kg,500,3
09/16 11:56:29,양파(깐양파),1kg,730,4
09/16 11:54:25,양파(기타양파),1kg,875,5
09/16 11:54:25,양파(기타양파),1kg,875,5
09/16 11:49:24,양파(양파(일반)),1kg,650,11
09/16 10:32:40,양파(저장양파),1kg,1000,200
09/16 09:17:03,양파(기타양파),1kg,465,3
09/16 09:16:57,양파(기타양파),1kg,900,4
09/16 09:16:20,양파(기타양파),1kg,645,15
09/16 09:16:11,양파(기타양파),1kg,1145,100
09/16 08:53:57,양파(기타양파),1kg,2800,188
09/16 08:53:57,양파(만생양파),1kg,1270,226
09/16 08:53:57,양파(만생양파),1kg,2066,140
09/16 08:26:45,양파(기타양파),1kg,1275,30
09/16 08:25:27,양파(양파(일반)),1kg,1255,20
09/16 08:25:14,양파(기타양파),1kg,200,12
09/16 08:11:07,양파(기타양파),1kg,1160,10
09/16 08:07:27,양파(기타양파),1kg,360,6
09/16 08:07:18,양파(기타양파),1kg,935,8
09/16 07:58:40,양파(기타양파),1kg,1300,24
09/16 07:40:56,양파(양파(일반)),1kg,1066,75
09/16 07:40:56,양파(양파(일반)),1kg,1066,75
09/16 07:40:56,양파(양파(일반)),1kg,1066,75
09/16 07:40:56,양파(양파(일반)),1kg,1066,75
09/16 07:40:56,양파(양파(일반)),1kg,1066,75
09/16 07:36:20,양파(기타양파),1kg,1125,38
09/16 07:36:20,양파(기타양파),1kg,1125,38
09/16 07:36:20,양파(기타양파),1kg,1125,38
09/16 07:36:14,양파(기타양파),1kg,1075,25
09/16 07:36:14,양파(기타양파),1kg,900,25
09/16 07:36:14,양파(기타양파),1kg,1075,25
09/16 07:36:14,양파(기타양파),1kg,900,25
09/16 07:36:09,양파(기타양파),1kg,1800,20
09/16 07:36:09,양파(기타양파),1kg,1900,20
09/16 07:36:09,양파(기타양파),1kg,1900,5
09/16 07:36:09,양파(기타양파),1kg,1800,20
09/16 07:36:09,양파(기타양파),1kg,1700,10
09/16 07:36:09,양파(기타양파),1kg,1900,1
09/16 07:36:09,양파(기타양파),1kg,1733,30
09/16 06:45:43,양파(양파(일반)),1kg,1066,20
