경매시간,품목(품종),규격(전체),경락가,거래량
05/16 12:51:58,쪽파(쪽파(일반)),1kg,2500,4
05/16 12:51:45,쪽파(깐쪽파),1kg,5150,6
05/16 12:51:32,쪽파(쪽파(일반)),1kg,4200,20
05/16 12:51:24,쪽파(깐쪽파),1kg,5000,1
05/16 12:51:20,쪽파(깐쪽파),1kg,5000,7
05/16 12:51:10,쪽파(깐쪽파),1kg,6030,1
05/16 12:51:06,쪽파(깐쪽파),1kg,6030,6
05/16 12:50:57,쪽파(쪽파(일반)),1kg,2500,11
05/16 12:50:55,쪽파(쪽파(일반)),1kg,3750,2
05/16 12:50:51,쪽파(쪽파(일반)),1kg,2500,11
05/16 12:50:45,쪽파(쪽파(일반)),1kg,2560,10
05/16 12:50:38,쪽파(쪽파(일반)),1kg,2550,10
05/16 12:50:34,쪽파(쪽파(일반)),1kg,2500,10
05/16 12:50:11,쪽파(깐쪽파),1kg,4000,5
05/16 12:50:06,쪽파(깐쪽파),1kg,4000,5
05/16 12:50:02,쪽파(깐쪽파),1kg,4000,5
05/16 12:49:48,쪽파(깐쪽파),1kg,4030,10
05/16 12:49:42,쪽파(깐쪽파),1kg,4000,10
05/16 12:48:03,쪽파(깐쪽파),1kg,3700,20
05/16 12:48:01,쪽파(쪽파(일반)),1kg,1400,20
05/16 12:47:03,쪽파(깐쪽파),1kg,5430,8
05/16 12:46:57,쪽파(깐쪽파),1kg,5400,8
05/16 12:46:52,쪽파(깐쪽파),1kg,5400,8
05/16 12:46:46,쪽파(깐쪽파),1kg,5360,8
05/16 12:46:38,쪽파(깐쪽파),1kg,5350,8
05/16 12:46:22,쪽파(깐쪽파),1kg,5850,10
05/16 12:46:16,쪽파(깐쪽파),1kg,5850,7
05/16 12:45:13,쪽파(쪽파(일반)),1kg,1800,395
05/16 12:45:06,쪽파(쪽파(일반)),1kg,1700,360
05/16 12:45:00,쪽파(쪽파(일반)),1kg,1700,360
05/16 12:43:51,쪽파(쪽파(일반)),1kg,500,4
05/16 12:28:21,쪽파(쪽파(일반)),1kg,2756,10
05/16 12:28:19,쪽파(쪽파(일반)),1kg,2756,10
05/16 12:28:16,쪽파(쪽파(일반)),1kg,2756,10
05/16 12:28:04,쪽파(깐쪽파),1kg,7420,10
05/16 12:28:01,쪽파(깐쪽파),1kg,7420,5
05/16 12:27:58,쪽파(깐쪽파),1kg,7420,10
05/16 12:27:50,쪽파(깐쪽파),1kg,7420,4
05/16 12:21:13,쪽파(깐쪽파),1kg,3940,10
05/16 12:21:13,쪽파(깐쪽파),1kg,3675,10
05/16 12:21:13,쪽파(쪽파(일반)),1kg,1575,20
05/16 12:21:13,쪽파(쪽파(일반)),1kg,1575,20
05/16 12:21:13,쪽파(쪽파(일반)),1kg,1575,20
05/16 12:14:29,쪽파(쪽파(일반)),1kg,1550,171
05/16 12:14:25,쪽파(쪽파(일반)),1kg,1500,173
05/16 12:11:47,쪽파(쪽파(일반)),1kg,2600,15
05/16 12:11:30,쪽파(쪽파(일반)),1kg,2800,15
05/16 12:11:16,쪽파(쪽파(일반)),1kg,2500,12
05/16 12:11:07,쪽파(쪽파(일반)),1kg,3800,20
05/16 12:10:57,쪽파(깐쪽파),1kg,4500,5
05/16 12:10:51,쪽파(깐쪽파),1kg,6100,4
05/16 12:10:45,쪽파(깐쪽파),1kg,5500,5
05/16 12:10:40,쪽파(깐쪽파),1kg,5200,5
05/16 12:10:34,쪽파(깐쪽파),1kg,3800,5
05/16 12:10:23,쪽파(깐쪽파),1kg,6300,6
05/16 12:10:17,쪽파(깐쪽파),1kg,6500,5
05/16 10:41:53,쪽파(쪽파(일반)),1kg,8000,1
05/16 10:03:43,쪽파(쪽파(일반)),1kg,3150,5
05/16 10:02:26,쪽파(깐쪽파),1kg,7140,1
05/16 09:53:09,쪽파(깐쪽파),1kg,4500,11
05/16 09:53:09,쪽파(깐쪽파),1kg,8000,10
05/16 09:53:09,쪽파(깐쪽파),1kg,8000,3
05/16 09:53:08,쪽파(깐쪽파),1kg,4500,10
05/16 09:46:11,쪽파(쪽파(일반)),1kg,1000,200
05/16 09:46:11,쪽파(쪽파(일반)),1kg,1000,100
05/16 09:45:52,쪽파(쪽파(일반)),1kg,1250,250
05/16 09:45:38,쪽파(쪽파(일반)),1kg,1250,400
05/16 09:39:46,쪽파(깐쪽파),1kg,6500,24
05/16 09:39:23,쪽파(깐쪽파),1kg,8000,10
05/16 09:39:23,쪽파(깐쪽파),1kg,8000,4
05/16 09:39:23,쪽파(깐쪽파),1kg,7500,100
05/16 09:39:23,쪽파(깐쪽파),1kg,8000,15
05/16 09:39:23,쪽파(깐쪽파),1kg,8000,10
05/16 09:39:23,쪽파(깐쪽파),1kg,8000,5
05/16 09:39:23,쪽파(깐쪽파),1kg,6000,20
05/16 09:39:23,쪽파(깐쪽파),1kg,8000,10
05/16 09:37:30,쪽파(깐쪽파),1kg,186,31
05/16 09:37:30,쪽파(깐쪽파),1kg,1600,20
05/16 09:37:30,쪽파(쪽파(일반)),1kg,1000,20
05/16 08:45:02,쪽파(쪽파(일반)),1kg,636,1
05/16 08:44:50,쪽파(깐쪽파),1kg,7920,20
05/16 08:44:43,쪽파(쪽파(일반)),1kg,636,1
05/16 08:44:03,쪽파(깐쪽파),1kg,7920,2
05/16 08:28:53,쪽파(깐쪽파),1kg,6365,1
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,5
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,15
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,10
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,10
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,10
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,5
05/16 08:06:35,쪽파(깐쪽파),1kg,8700,5
05/16 08:06:35,쪽파(쪽파(일반)),1kg,4142,10
05/16 08:06:35,쪽파(쪽파(일반)),1kg,4142,5
05/16 08:02:37,쪽파(기타쪽파),1kg,8000,5
05/16 07:57:45,쪽파(깐쪽파),1kg,1200,28
05/16 07:57:45,쪽파(깐쪽파),1kg,3200,1
05/16 07:57:45,쪽파(깐쪽파),1kg,3200,5
05/16 07:57:07,쪽파(쪽파(일반)),1kg,666,73
05/16 07:57:07,쪽파(쪽파(일반)),1kg,666,74
05/16 07:42:48,쪽파(쪽파(일반)),1kg,2500,200
05/16 07:40:42,쪽파(쪽파(일반)),1kg,2000,400
05/16 07:39:19,쪽파(쪽파(일반)),1kg,2000,500
05/16 07:34:12,쪽파(쪽파(일반)),1kg,2000,400
05/16 06:46:38,쪽파(쪽파(일반)),1kg,1200,80
05/16 06:41:06,쪽파(쪽파(일반)),1kg,688,1
05/16 06:29:54,쪽파(깐쪽파),1kg,7600,30
05/16 06:29:54,쪽파(깐쪽파),1kg,7600,30
05/16 06:29:54,쪽파(깐쪽파),1kg,7600,30
05/16 06:29:47,쪽파(깐쪽파),1kg,7500,40
05/16 05:48:18,쪽파(깐쪽파),1kg,3000,3
05/16 05:48:17,쪽파(쪽파(일반)),1kg,2000,2
05/16 05:39:01,쪽파(쪽파(일반)),1kg,4000,5
05/16 05:38:40,쪽파(쪽파(일반)),1kg,4000,45
05/16 05:32:07,쪽파(쪽파(일반)),1kg,550,47
05/16 05:32:06,쪽파(쪽파(일반)),1kg,550,50
05/16 05:32:02,쪽파(쪽파(일반)),1kg,550,50
05/16 05:25:19,쪽파(깐쪽파),1kg,7913,8
05/16 05:18:25,쪽파(깐쪽파),1kg,7000,10
05/16 05:18:25,쪽파(쪽파(일반)),1kg,3000,30
05/16 05:16:39,쪽파(깐쪽파),1kg,4200,21
05/16 05:14:33,쪽파(깐쪽파),1kg,6000,3
05/16 05:14:33,쪽파(깐쪽파),1kg,5200,1
05/16 05:11:15,쪽파(쪽파(일반)),1kg,900,58
05/16 05:11:11,쪽파(쪽파(일반)),1kg,800,75
05/16 05:03:05,쪽파(쪽파(일반)),1kg,600,51
05/16 05:03:02,쪽파(쪽파(일반)),1kg,600,51
05/16 05:00:38,쪽파(깐쪽파),1kg,7000,1
05/16 04:59:29,쪽파(쪽파(일반)),1kg,1840,150
05/16 04:57:25,쪽파(깐쪽파),1kg,260,40
05/16 04:42:21,쪽파(쪽파(일반)),1kg,1200,80
05/16 04:42:02,쪽파(쪽파(일반)),1kg,1555,100
05/16 04:34:59,쪽파(쪽파(일반)),1kg,1750,80
05/16 04:34:59,쪽파(쪽파(일반)),1kg,1750,80
05/16 04:34:59,쪽파(쪽파(일반)),1kg,1750,80
05/16 04:24:30,쪽파(깐쪽파),1kg,6900,40
05/16 04:24:26,쪽파(깐쪽파),1kg,6700,22
05/16 04:21:51,쪽파(쪽파(일반)),1kg,2300,30
05/16 04:20:58,쪽파(쪽파(일반)),1kg,2640,20
05/16 04:15:00,쪽파(깐쪽파),1kg,5510,32
05/16 04:07:49,쪽파(깐쪽파),1kg,7760,30
05/16 04:02:58,쪽파(쪽파(일반)),1kg,805,150
05/16 04:02:57,쪽파(쪽파(일반)),1kg,805,150
05/16 04:00:47,쪽파(쪽파(일반)),1kg,5800,20
05/16 04:00:44,쪽파(쪽파(일반)),1kg,1466,30
05/16 03:59:36,쪽파(쪽파(일반)),1kg,506,30
05/16 03:58:53,쪽파(쪽파(일반)),1kg,380,30
05/16 03:58:43,쪽파(쪽파(일반)),1kg,6120,10
05/16 03:58:43,쪽파(쪽파(일반)),1kg,380,20
05/16 03:58:43,쪽파(쪽파(일반)),1kg,2270,20
05/16 03:58:29,쪽파(쪽파(일반)),1kg,2270,20
05/16 03:58:29,쪽파(쪽파(일반)),1kg,380,30
05/16 03:54:38,쪽파(쪽파(일반)),1kg,2640,20
05/16 03:49:57,쪽파(쪽파(일반)),1kg,466,20
05/16 03:48:43,쪽파(쪽파(일반)),1kg,950,100
05/16 03:48:36,쪽파(쪽파(일반)),1kg,950,100
05/16 03:48:31,쪽파(쪽파(일반)),1kg,900,100
05/16 03:48:27,쪽파(쪽파(일반)),1kg,900,100
05/16 03:48:26,쪽파(쪽파(일반)),1kg,1127,100
05/16 03:48:20,쪽파(쪽파(일반)),1kg,1593,36
05/16 03:48:17,쪽파(쪽파(일반)),1kg,1593,50
05/16 03:47:50,쪽파(쪽파(일반)),1kg,3800,32
05/16 03:47:46,쪽파(깐쪽파),1kg,5600,40
05/16 03:43:17,쪽파(쪽파(일반)),1kg,1210,130
05/16 03:43:09,쪽파(쪽파(일반)),1kg,1633,50
05/16 03:43:03,쪽파(쪽파(일반)),1kg,1486,30
05/16 03:42:56,쪽파(쪽파(일반)),1kg,952,100
05/16 03:23:59,쪽파(쪽파(일반)),1kg,2600,13
05/16 03:23:50,쪽파(깐쪽파),1kg,5500,33
05/16 03:23:39,쪽파(깐쪽파),1kg,4000,20
05/16 03:23:31,쪽파(깐쪽파),1kg,4500,30
05/16 03:22:38,쪽파(기타쪽파),1kg,1450,50
05/16 03:22:31,쪽파(기타쪽파),1kg,1388,50
05/16 03:22:25,쪽파(기타쪽파),1kg,1333,50
05/16 03:22:20,쪽파(기타쪽파),1kg,1277,50
05/16 03:15:17,쪽파(깐쪽파),1kg,6700,30
05/16 03:12:39,쪽파(깐쪽파),1kg,1600,22
05/16 03:09:21,쪽파(기타쪽파),1kg,1750,50
05/16 03:09:06,쪽파(기타쪽파),1kg,1850,50
05/16 03:07:10,쪽파(깐쪽파),1kg,4000,30
05/16 02:59:51,쪽파(쪽파(일반)),1kg,3750,1
05/16 02:58:34,쪽파(깐쪽파),1kg,5700,50
05/16 02:58:01,쪽파(깐쪽파),1kg,7000,50
05/16 02:57:56,쪽파(깐쪽파),1kg,6000,50
05/16 02:57:50,쪽파(깐쪽파),1kg,6000,60
05/16 02:57:43,쪽파(깐쪽파),1kg,7500,40
05/16 02:57:37,쪽파(깐쪽파),1kg,7000,50
05/16 02:57:33,쪽파(깐쪽파),1kg,4500,50
05/16 02:57:24,쪽파(깐쪽파),1kg,7000,50
05/16 02:57:10,쪽파(깐쪽파),1kg,6000,50
05/16 02:56:06,쪽파(깐쪽파),1kg,6020,33
05/16 02:55:57,쪽파(깐쪽파),1kg,5000,50
05/16 02:55:25,쪽파(깐쪽파),1kg,7700,30
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,5
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,5
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,20
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,5
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,15
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,10
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,10
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,5
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,20
05/16 02:55:24,쪽파(깐쪽파),1kg,9000,5
05/16 02:53:31,쪽파(깐쪽파),1kg,4500,20
05/16 02:53:22,쪽파(깐쪽파),1kg,4300,30
05/16 02:52:51,쪽파(깐쪽파),1kg,4100,20
05/16 02:52:51,쪽파(깐쪽파),1kg,9000,15
05/16 02:52:50,쪽파(깐쪽파),1kg,6100,11
05/16 02:52:48,쪽파(깐쪽파),1kg,4100,30
05/16 02:52:11,쪽파(깐쪽파),1kg,4900,20
05/16 02:52:03,쪽파(깐쪽파),1kg,4800,30
05/16 02:49:56,쪽파(쪽파(일반)),1kg,4000,5
05/16 02:45:30,쪽파(쪽파(일반)),1kg,1200,6
05/16 02:45:05,쪽파(쪽파(일반)),1kg,2500,15
05/16 02:45:02,쪽파(쪽파(일반)),1kg,3300,152
05/16 02:44:54,쪽파(쪽파(일반)),1kg,2500,8
05/16 02:44:30,쪽파(깐쪽파),1kg,4000,3
05/16 02:43:42,쪽파(쪽파(일반)),1kg,4000,110
05/16 02:43:42,쪽파(쪽파(일반)),1kg,3800,111
05/16 02:42:12,쪽파(쪽파(일반)),1kg,4000,12
05/16 02:41:47,쪽파(쪽파(일반)),1kg,4700,30
05/16 02:41:37,쪽파(쪽파(일반)),1kg,800,6
05/16 02:40:45,쪽파(쪽파(일반)),1kg,2700,22
05/16 02:40:32,쪽파(깐쪽파),1kg,6800,1
05/16 02:40:27,쪽파(깐쪽파),1kg,6600,4
05/16 02:40:09,쪽파(쪽파(일반)),1kg,4000,45
05/16 02:40:05,쪽파(쪽파(일반)),1kg,4500,50
05/16 02:40:05,쪽파(쪽파(일반)),1kg,4500,100
05/16 02:40:00,쪽파(쪽파(일반)),1kg,4500,50
05/16 02:39:57,쪽파(쪽파(일반)),1kg,4500,100
05/16 02:39:55,쪽파(쪽파(일반)),1kg,4500,100
05/16 02:39:52,쪽파(쪽파(일반)),1kg,4500,100
05/16 02:36:33,쪽파(쪽파(일반)),1kg,909,2
05/16 02:36:29,쪽파(쪽파(일반)),1kg,909,1
05/16 02:35:55,쪽파(깐쪽파),1kg,5900,20
05/16 02:35:40,쪽파(깐쪽파),1kg,6100,30
05/16 02:35:29,쪽파(깐쪽파),1kg,5200,20
05/16 02:35:12,쪽파(깐쪽파),1kg,5500,30
05/16 02:35:06,쪽파(깐쪽파),1kg,6300,20
05/16 02:35:02,쪽파(깐쪽파),1kg,6000,30
05/16 02:34:55,쪽파(깐쪽파),1kg,5000,20
05/16 02:34:49,쪽파(깐쪽파),1kg,5300,30
05/16 02:34:44,쪽파(깐쪽파),1kg,4800,20
05/16 02:34:41,쪽파(깐쪽파),1kg,4600,30
05/16 02:34:34,쪽파(깐쪽파),1kg,5400,20
05/16 02:34:31,쪽파(깐쪽파),1kg,5300,30
05/16 02:16:13,쪽파(깐쪽파),1kg,8000,1
05/16 02:11:16,쪽파(쪽파(일반)),1kg,2500,152
05/16 02:11:09,쪽파(쪽파(일반)),1kg,2500,160
05/16 02:10:54,쪽파(쪽파(일반)),1kg,4000,321
05/16 02:10:31,쪽파(깐쪽파),1kg,1000,70
05/16 02:10:17,쪽파(쪽파(일반)),1kg,2400,350
05/16 02:10:03,쪽파(쪽파(일반)),1kg,3000,400
05/16 02:09:35,쪽파(깐쪽파),1kg,6500,50
05/16 02:09:27,쪽파(깐쪽파),1kg,6400,60
05/16 02:09:19,쪽파(깐쪽파),1kg,6600,40
05/16 02:09:16,쪽파(깐쪽파),1kg,6200,50
05/16 02:09:07,쪽파(깐쪽파),1kg,6200,50
05/16 02:08:59,쪽파(깐쪽파),1kg,5800,50
05/16 02:08:54,쪽파(깐쪽파),1kg,5700,50
05/16 02:08:50,쪽파(깐쪽파),1kg,5700,50
05/16 02:08:31,쪽파(쪽파(일반)),1kg,240,120
05/16 02:07:07,쪽파(쪽파(일반)),1kg,4500,100
05/16 02:06:58,쪽파(쪽파(일반)),1kg,2400,350
05/16 02:06:24,쪽파(쪽파(일반)),1kg,3200,350
05/16 02:05:28,쪽파(쪽파(일반)),1kg,2800,300
05/16 01:39:46,쪽파(쪽파(일반)),1kg,2610,280
05/16 01:39:39,쪽파(쪽파(일반)),1kg,2610,300
05/16 01:39:12,쪽파(쪽파(일반)),1kg,2900,217
05/16 01:38:57,쪽파(쪽파(일반)),1kg,2900,280
05/16 01:37:45,쪽파(쪽파(일반)),1kg,3340,10
05/16 01:37:43,쪽파(쪽파(일반)),1kg,3340,10
05/16 01:37:41,쪽파(쪽파(일반)),1kg,3340,12
05/16 01:37:38,쪽파(쪽파(일반)),1kg,3340,10
05/16 01:37:36,쪽파(쪽파(일반)),1kg,3340,10
05/16 01:37:15,쪽파(쪽파(일반)),1kg,3340,13
05/16 01:26:28,쪽파(쪽파(일반)),1kg,4725,25
05/16 01:17:41,쪽파(쪽파(일반)),1kg,1820,7
05/16 01:17:21,쪽파(깐쪽파),1kg,5450,6
05/16 01:17:11,쪽파(깐쪽파),1kg,5400,6
05/16 01:16:51,쪽파(깐쪽파),1kg,4160,5
05/16 01:16:51,쪽파(깐쪽파),1kg,4120,5
05/16 01:16:40,쪽파(깐쪽파),1kg,4100,5
05/16 01:16:10,쪽파(쪽파(일반)),1kg,2150,274
05/16 01:16:10,쪽파(쪽파(일반)),1kg,2050,300
05/16 01:15:59,쪽파(쪽파(일반)),1kg,3650,286
05/16 01:15:49,쪽파(쪽파(일반)),1kg,3510,280
05/16 01:10:07,쪽파(깐쪽파),1kg,5680,2
05/16 01:10:05,쪽파(깐쪽파),1kg,5600,3
05/16 01:09:58,쪽파(깐쪽파),1kg,5600,3
05/16 01:09:50,쪽파(깐쪽파),1kg,5570,3
05/16 01:09:49,쪽파(깐쪽파),1kg,5570,3
05/16 01:09:47,쪽파(깐쪽파),1kg,5570,3
05/16 01:09:38,쪽파(깐쪽파),1kg,5570,3
05/16 01:06:39,쪽파(깐쪽파),1kg,5050,3
05/16 01:06:38,쪽파(깐쪽파),1kg,5050,3
05/16 01:06:29,쪽파(깐쪽파),1kg,73850,3
05/16 01:06:29,쪽파(쪽파(일반)),1kg,54860,1
05/16 01:06:27,쪽파(깐쪽파),1kg,5050,3
05/16 01:06:20,쪽파(깐쪽파),1kg,5050,3
05/16 01:06:12,쪽파(깐쪽파),1kg,5050,3
05/15 12:56:44,쪽파(쪽파(일반)),1kg,5416,1
05/15 12:56:43,쪽파(쪽파(일반)),1kg,5000,5
05/15 12:56:38,쪽파(깐쪽파),1kg,4200,1
05/15 12:56:07,쪽파(깐쪽파),1kg,79125,4
05/15 12:56:07,쪽파(쪽파(일반)),1kg,59080,2
05/15 12:48:28,쪽파(깐쪽파),1kg,4250,7
05/15 12:48:22,쪽파(깐쪽파),1kg,4150,7
05/15 12:48:01,쪽파(쪽파(일반)),1kg,2920,17
05/15 12:47:48,쪽파(쪽파(일반)),1kg,1600,1
05/15 12:47:45,쪽파(쪽파(일반)),1kg,1600,1
05/15 12:47:29,쪽파(쪽파(일반)),1kg,4800,10
05/15 12:47:19,쪽파(쪽파(일반)),1kg,2880,3
05/15 12:47:10,쪽파(깐쪽파),1kg,4460,6
05/15 12:47:01,쪽파(쪽파(일반)),1kg,1800,4
05/15 12:46:51,쪽파(쪽파(일반)),1kg,3580,1
05/15 12:46:48,쪽파(쪽파(일반)),1kg,3580,20
