경매시간,품목(품종),규격(전체),경락가,거래량
0,포도(포도(수입)),1kg,4750,10
0,포도(포도(수입)),1kg,4750,10
05/16 12:59:20,포도(포도(수입)),1kg,4444,100
05/16 12:30:03,포도(포도(수입)),1kg,6666,64
05/16 12:29:49,포도(포도(수입)),1kg,4000,108
05/16 12:29:49,포도(포도(수입)),1kg,3500,108
05/16 11:36:13,포도(거봉),1kg,5625,1
05/16 11:07:44,포도(기타포도),1kg,7338,18
05/16 11:07:44,포도(크림슨),1kg,2832,5
05/16 10:33:16,포도(포도(수입)),1kg,5250,1
05/16 10:33:16,포도(포도(수입)),1kg,6875,1
05/16 10:33:16,포도(포도(수입)),1kg,7250,10
05/16 10:33:16,포도(포도(수입)),1kg,5750,2
05/16 10:33:16,포도(포도(수입)),1kg,3750,1
05/16 10:33:16,포도(포도(수입)),1kg,6875,2
05/16 10:33:16,포도(포도(수입)),1kg,6875,5
05/16 10:33:16,포도(포도(수입)),1kg,5750,1
05/16 10:30:35,포도(포도(수입)),1kg,7875,1
05/16 10:30:35,포도(포도(수입)),1kg,4375,2
05/16 10:30:35,포도(포도(수입)),1kg,7875,2
05/16 10:30:35,포도(포도(수입)),1kg,4375,1
05/16 10:30:35,포도(포도(수입)),1kg,5000,1
05/16 10:30:35,포도(포도(수입)),1kg,7875,7
05/16 10:28:35,포도(포도(수입)),1kg,7000,3
05/16 10:26:42,포도(포도(수입)),1kg,4625,5
05/16 10:26:42,포도(포도(수입)),1kg,7875,5
05/16 10:26:42,포도(포도(수입)),1kg,7875,1
05/16 10:26:42,포도(포도(수입)),1kg,4750,5
05/16 10:26:42,포도(포도(수입)),1kg,4750,1
05/16 10:12:53,포도(청포도(수입)),1kg,6585,84
05/16 10:12:44,포도(포도(수입)),1kg,6463,42
05/16 10:12:31,포도(청포도(수입)),1kg,6164,114
05/16 10:12:09,포도(크림슨(수입)),1kg,3500,108
05/16 10:12:09,포도(크림슨(수입)),1kg,3500,108
05/16 10:12:09,포도(크림슨(수입)),1kg,3500,108
05/16 10:01:15,포도(포도(수입)),1kg,4500,2
05/16 10:01:15,포도(포도(수입)),1kg,8000,3
05/16 10:01:15,포도(포도(수입)),1kg,4750,1
05/16 09:55:48,포도(기타포도),1kg,6849,114
05/16 09:48:19,포도(포도(수입)),1kg,4111,11
05/16 09:48:19,포도(포도(수입)),1kg,4111,30
05/16 09:48:19,포도(포도(수입)),1kg,4111,11
05/16 09:48:19,포도(포도(수입)),1kg,4111,11
05/16 09:48:19,포도(포도(수입)),1kg,1666,2
05/16 09:48:19,포도(포도(수입)),1kg,4111,9
05/16 09:48:19,포도(포도(수입)),1kg,4111,11
05/16 09:48:19,포도(포도(수입)),1kg,4111,11
05/16 09:40:28,포도(청포도(수입)),1kg,7500,4
05/16 09:38:50,포도(포도(수입)),1kg,6875,1
05/16 09:38:50,포도(포도(수입)),1kg,5750,1
05/16 09:38:38,포도(포도(수입)),1kg,6666,1
05/16 09:36:44,포도(포도(수입)),1kg,4750,3
05/16 09:36:44,포도(포도(수입)),1kg,4750,5
05/16 09:36:39,포도(레드글로브),1kg,3200,3
05/16 09:36:39,포도(레드글로브),1kg,3200,3
05/16 09:36:39,포도(레드글로브),1kg,3200,10
05/16 09:36:39,포도(레드글로브),1kg,3200,10
05/16 09:36:39,포도(레드글로브),1kg,3200,4
05/16 09:36:39,포도(레드글로브),1kg,3200,5
05/16 09:36:39,포도(레드글로브),1kg,3200,10
05/16 09:35:16,포도(포도(수입)),1kg,7875,1
05/16 09:35:16,포도(포도(수입)),1kg,7875,1
05/16 09:32:56,포도(포도(수입)),1kg,1219,1
05/16 09:32:30,포도(기타포도),1kg,6027,110
05/16 09:32:30,포도(기타포도),1kg,3013,4
05/16 09:32:30,포도(기타포도),1kg,6027,114
05/16 09:32:11,포도(청포도(수입)),1kg,4800,15
05/16 09:32:11,포도(청포도(수입)),1kg,4800,5
05/16 09:32:11,포도(청포도(수입)),1kg,6400,10
05/16 09:32:11,포도(청포도(수입)),1kg,6400,5
05/16 09:32:11,포도(청포도(수입)),1kg,4800,1
05/16 09:32:11,포도(청포도(수입)),1kg,4800,10
05/16 09:32:11,포도(청포도(수입)),1kg,4800,10
05/16 09:32:11,포도(청포도(수입)),1kg,2000,1
05/16 09:30:29,포도(포도(수입)),1kg,3200,10
05/16 09:30:29,포도(포도(수입)),1kg,3200,5
